Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Sturnella magna,Eastern Meadowlark,0.1123,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
0.0,3.0,Spizella pusilla,Field Sparrow,0.0866,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
9.0,12.0,Spizella pusilla,Field Sparrow,0.2554,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
12.0,15.0,Spizella pusilla,Field Sparrow,0.7146,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
15.0,18.0,Spizella pusilla,Field Sparrow,0.1282,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
15.0,18.0,Sturnella magna,Eastern Meadowlark,0.0643,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
18.0,21.0,Geothlypis trichas,Common Yellowthroat,0.0653,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
18.0,21.0,Sturnella magna,Eastern Meadowlark,0.0611,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
21.0,24.0,Spizella pusilla,Field Sparrow,0.0727,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
24.0,27.0,Spizella pusilla,Field Sparrow,0.0873,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
27.0,30.0,Spizella pusilla,Field Sparrow,0.1261,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
30.0,33.0,Spizella pusilla,Field Sparrow,0.0754,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
39.0,42.0,Sturnella magna,Eastern Meadowlark,0.1906,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
39.0,42.0,Spizella pusilla,Field Sparrow,0.1415,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
42.0,45.0,Spizella pusilla,Field Sparrow,0.2614,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
57.0,60.0,Spizella pusilla,Field Sparrow,0.1547,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
75.0,78.0,Spizella pusilla,Field Sparrow,0.0950,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
108.0,111.0,Passerina caerulea,Blue Grosbeak,0.0501,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
126.0,129.0,Spizella pusilla,Field Sparrow,0.0534,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
135.0,138.0,Spizella pusilla,Field Sparrow,0.0518,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
153.0,156.0,Passerina caerulea,Blue Grosbeak,0.0557,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
222.0,225.0,Spizella pusilla,Field Sparrow,0.0554,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
276.0,279.0,Spizella pusilla,Field Sparrow,0.0517,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
297.0,300.0,Spizella pusilla,Field Sparrow,0.0554,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
339.0,342.0,Sturnella magna,Eastern Meadowlark,0.0764,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
375.0,378.0,Sturnella magna,Eastern Meadowlark,0.0532,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
399.0,402.0,Bartramia longicauda,Upland Sandpiper,0.0541,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
411.0,414.0,Spizella pusilla,Field Sparrow,0.0542,D:\AcousticMonitoringData\ELDON7_Data\Week23\ELDON7_20250620_204002.wav
