Start (s),End (s),Scientific name,Common name,Confidence,File,Date
6,9,Sturnella magna,Eastern Meadowlark,0.3794,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
21,24,Sturnella magna,Eastern Meadowlark,0.1726,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
51,54,Sturnella magna,Eastern Meadowlark,0.3441,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
60,63,Sturnella magna,Eastern Meadowlark,0.2083,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
66,69,Bartramia longicauda,Upland Sandpiper,0.0631,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
81,84,Bartramia longicauda,Upland Sandpiper,0.1429,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
90,93,Sturnella magna,Eastern Meadowlark,0.0674,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
105,108,Bartramia longicauda,Upland Sandpiper,0.1135,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
117,120,Sturnella magna,Eastern Meadowlark,0.3386,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
117,120,Bartramia longicauda,Upland Sandpiper,0.0836,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
120,123,Bartramia longicauda,Upland Sandpiper,0.067,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
129,132,Sturnella magna,Eastern Meadowlark,0.1367,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
132,135,Sturnella magna,Eastern Meadowlark,0.0543,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
132,135,Spizella pusilla,Field Sparrow,0.0541,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
147,150,Sturnella magna,Eastern Meadowlark,0.0718,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
150,153,Sturnella magna,Eastern Meadowlark,0.3801,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
168,171,Sturnella magna,Eastern Meadowlark,0.2938,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
171,174,Sturnella magna,Eastern Meadowlark,0.1714,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
198,201,Sturnella magna,Eastern Meadowlark,0.0548,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
201,204,Sturnella magna,Eastern Meadowlark,0.067,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
204,207,Sturnella magna,Eastern Meadowlark,0.1086,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
210,213,Sturnella magna,Eastern Meadowlark,0.5017,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
216,219,Sturnella magna,Eastern Meadowlark,0.052,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
252,255,Sturnella magna,Eastern Meadowlark,0.0959,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
255,258,Sturnella magna,Eastern Meadowlark,0.9344,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
258,261,Sturnella magna,Eastern Meadowlark,0.1077,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
261,264,Sturnella magna,Eastern Meadowlark,0.1729,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
264,267,Sturnella magna,Eastern Meadowlark,0.5577,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
267,270,Sturnella magna,Eastern Meadowlark,0.4403,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
270,273,Sturnella magna,Eastern Meadowlark,0.6457,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
273,276,Sturnella magna,Eastern Meadowlark,0.2387,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
276,279,Sturnella magna,Eastern Meadowlark,0.988,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
279,282,Sturnella magna,Eastern Meadowlark,0.9492,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
282,285,Sturnella magna,Eastern Meadowlark,0.3658,D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250526_192700.wav,20250526
