Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Sturnella magna,Eastern Meadowlark,0.0777,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
9.0,12.0,Passerina caerulea,Blue Grosbeak,0.0505,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
18.0,21.0,Sturnella magna,Eastern Meadowlark,0.0535,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
75.0,78.0,Sturnella magna,Eastern Meadowlark,0.0545,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
99.0,102.0,Passerina caerulea,Blue Grosbeak,0.0645,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
120.0,123.0,Geothlypis trichas,Common Yellowthroat,0.0665,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
123.0,126.0,Passerina caerulea,Blue Grosbeak,0.0501,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
132.0,135.0,Geothlypis trichas,Common Yellowthroat,0.0618,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
141.0,144.0,Geothlypis trichas,Common Yellowthroat,0.2552,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
144.0,147.0,Geothlypis trichas,Common Yellowthroat,0.1141,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
150.0,153.0,Geothlypis trichas,Common Yellowthroat,0.0577,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
180.0,183.0,Geothlypis trichas,Common Yellowthroat,0.0521,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
216.0,219.0,Passerina caerulea,Blue Grosbeak,0.0893,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
264.0,267.0,Sturnella magna,Eastern Meadowlark,0.0724,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
267.0,270.0,Geothlypis trichas,Common Yellowthroat,0.1822,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
270.0,273.0,Geothlypis trichas,Common Yellowthroat,0.0656,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
276.0,279.0,Sturnella magna,Eastern Meadowlark,0.0545,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
333.0,336.0,Geothlypis trichas,Common Yellowthroat,0.0515,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
366.0,369.0,Sturnella magna,Eastern Meadowlark,0.0531,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
390.0,393.0,Geothlypis trichas,Common Yellowthroat,0.1793,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
393.0,396.0,Geothlypis trichas,Common Yellowthroat,0.0931,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
396.0,399.0,Sturnella magna,Eastern Meadowlark,0.1100,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
408.0,411.0,Geothlypis trichas,Common Yellowthroat,0.0567,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
417.0,420.0,Geothlypis trichas,Common Yellowthroat,0.0757,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
438.0,441.0,Passerina caerulea,Blue Grosbeak,0.0635,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
453.0,456.0,Sturnella magna,Eastern Meadowlark,0.0561,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
498.0,501.0,Passerina caerulea,Blue Grosbeak,0.0510,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
501.0,504.0,Passerina caerulea,Blue Grosbeak,0.0586,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
567.0,570.0,Passerina caerulea,Blue Grosbeak,0.0817,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
627.0,630.0,Passerina caerulea,Blue Grosbeak,0.0549,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
642.0,645.0,Sturnella magna,Eastern Meadowlark,0.0715,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
684.0,687.0,Passerina caerulea,Blue Grosbeak,0.0588,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
708.0,711.0,Geothlypis trichas,Common Yellowthroat,0.0797,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
711.0,714.0,Passerina caerulea,Blue Grosbeak,0.0845,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
732.0,735.0,Passerina caerulea,Blue Grosbeak,0.0598,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
768.0,771.0,Passerina caerulea,Blue Grosbeak,0.0564,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
771.0,774.0,Geothlypis trichas,Common Yellowthroat,0.1791,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
774.0,777.0,Geothlypis trichas,Common Yellowthroat,0.0661,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
783.0,786.0,Sturnella magna,Eastern Meadowlark,0.1067,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
786.0,789.0,Sturnella magna,Eastern Meadowlark,0.0905,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
786.0,789.0,Passerina caerulea,Blue Grosbeak,0.0531,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
801.0,804.0,Sturnella magna,Eastern Meadowlark,0.1019,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
807.0,810.0,Geothlypis trichas,Common Yellowthroat,0.0621,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
810.0,813.0,Sturnella magna,Eastern Meadowlark,0.0774,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
819.0,822.0,Geothlypis trichas,Common Yellowthroat,0.0504,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
834.0,837.0,Passerina caerulea,Blue Grosbeak,0.0782,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
840.0,843.0,Sturnella magna,Eastern Meadowlark,0.0505,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
852.0,855.0,Passerina caerulea,Blue Grosbeak,0.0624,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
867.0,870.0,Passerina caerulea,Blue Grosbeak,0.1373,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
867.0,870.0,Sturnella magna,Eastern Meadowlark,0.0621,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
873.0,876.0,Geothlypis trichas,Common Yellowthroat,0.0981,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
876.0,879.0,Passerina caerulea,Blue Grosbeak,0.1902,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
879.0,882.0,Passerina caerulea,Blue Grosbeak,0.0596,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
897.0,900.0,Geothlypis trichas,Common Yellowthroat,0.1089,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
900.0,903.0,Geothlypis trichas,Common Yellowthroat,0.2789,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
900.0,903.0,Sturnella magna,Eastern Meadowlark,0.0500,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
906.0,909.0,Geothlypis trichas,Common Yellowthroat,0.0526,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
912.0,915.0,Geothlypis trichas,Common Yellowthroat,0.0654,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
921.0,924.0,Geothlypis trichas,Common Yellowthroat,0.1356,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
930.0,933.0,Geothlypis trichas,Common Yellowthroat,0.1152,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
939.0,942.0,Geothlypis trichas,Common Yellowthroat,0.1194,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
942.0,945.0,Geothlypis trichas,Common Yellowthroat,0.1871,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
948.0,951.0,Geothlypis trichas,Common Yellowthroat,0.0563,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
951.0,954.0,Geothlypis trichas,Common Yellowthroat,0.0653,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
972.0,975.0,Geothlypis trichas,Common Yellowthroat,0.0969,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
975.0,978.0,Geothlypis trichas,Common Yellowthroat,0.2073,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
999.0,1002.0,Geothlypis trichas,Common Yellowthroat,0.1370,D:\AcousticMonitoringData\ELDON5_Data\Week24\ELDON5_20250630_194100.wav
