Start (s),End (s),Scientific name,Common name,Confidence,File,Date
231,234,Geothlypis trichas,Common Yellowthroat,0.1068,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
315,318,Geothlypis trichas,Common Yellowthroat,0.1631,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
330,333,Geothlypis trichas,Common Yellowthroat,0.2702,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
384,387,Geothlypis trichas,Common Yellowthroat,0.1631,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
408,411,Geothlypis trichas,Common Yellowthroat,0.244,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
423,426,Geothlypis trichas,Common Yellowthroat,0.1018,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
441,444,Geothlypis trichas,Common Yellowthroat,0.5553,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
453,456,Geothlypis trichas,Common Yellowthroat,0.5022,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
456,459,Geothlypis trichas,Common Yellowthroat,0.1511,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
462,465,Geothlypis trichas,Common Yellowthroat,0.2854,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
465,468,Geothlypis trichas,Common Yellowthroat,0.202,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
471,474,Geothlypis trichas,Common Yellowthroat,0.2957,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
477,480,Geothlypis trichas,Common Yellowthroat,0.1678,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
486,489,Geothlypis trichas,Common Yellowthroat,0.1128,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
498,501,Geothlypis trichas,Common Yellowthroat,0.0931,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
501,504,Geothlypis trichas,Common Yellowthroat,0.3006,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
504,507,Geothlypis trichas,Common Yellowthroat,0.2412,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
510,513,Geothlypis trichas,Common Yellowthroat,0.201,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
519,522,Geothlypis trichas,Common Yellowthroat,0.2662,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
522,525,Geothlypis trichas,Common Yellowthroat,0.446,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
531,534,Geothlypis trichas,Common Yellowthroat,0.0614,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
534,537,Spizella pusilla,Field Sparrow,0.1159,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
534,537,Geothlypis trichas,Common Yellowthroat,0.0995,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
540,543,Geothlypis trichas,Common Yellowthroat,0.5728,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
543,546,Geothlypis trichas,Common Yellowthroat,0.1622,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
555,558,Geothlypis trichas,Common Yellowthroat,0.1243,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
558,561,Geothlypis trichas,Common Yellowthroat,0.0719,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
570,573,Geothlypis trichas,Common Yellowthroat,0.1587,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
570,573,Spizella pusilla,Field Sparrow,0.1381,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
573,576,Geothlypis trichas,Common Yellowthroat,0.6986,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
579,582,Geothlypis trichas,Common Yellowthroat,0.1912,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
582,585,Geothlypis trichas,Common Yellowthroat,0.347,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
588,591,Geothlypis trichas,Common Yellowthroat,0.3264,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
591,594,Geothlypis trichas,Common Yellowthroat,0.3417,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
594,597,Geothlypis trichas,Common Yellowthroat,0.4384,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
597,600,Spizella pusilla,Field Sparrow,0.2723,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
600,603,Geothlypis trichas,Common Yellowthroat,0.3321,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
609,612,Spizella pusilla,Field Sparrow,0.0665,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
612,615,Geothlypis trichas,Common Yellowthroat,0.2818,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
621,624,Geothlypis trichas,Common Yellowthroat,0.3303,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
624,627,Geothlypis trichas,Common Yellowthroat,0.5264,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
627,630,Geothlypis trichas,Common Yellowthroat,0.1018,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
630,633,Geothlypis trichas,Common Yellowthroat,0.2096,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
633,636,Geothlypis trichas,Common Yellowthroat,0.1257,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
636,639,Geothlypis trichas,Common Yellowthroat,0.5832,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
639,642,Spizella pusilla,Field Sparrow,0.0731,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
642,645,Geothlypis trichas,Common Yellowthroat,0.1609,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
645,648,Geothlypis trichas,Common Yellowthroat,0.3716,S:\AcousticMonitoringData\ELDON5_Data\Week25\ELDON5_20250705_045400.wav,20250705
