Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Common Name	Species Code	Confidence
1	Waveform 1	1	3.000000000	6.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	3.0000	Field Sparrow	fiespa	0.0520
1	Spectrogram 1	1	3.000000000	6.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	3.0000	Field Sparrow	fiespa	0.0520
2	Waveform 1	1	3.000000000	6.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	3.0000	Blue Grosbeak	blugrb1	0.0175
2	Spectrogram 1	1	3.000000000	6.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	3.0000	Blue Grosbeak	blugrb1	0.0175
3	Waveform 1	1	6.000000000	9.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	6.0000	Horned Lark	horlar	0.0168
3	Spectrogram 1	1	6.000000000	9.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	6.0000	Horned Lark	horlar	0.0168
4	Waveform 1	1	24.000000000	27.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	24.0000	Blue Grosbeak	blugrb1	0.0102
4	Spectrogram 1	1	24.000000000	27.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	24.0000	Blue Grosbeak	blugrb1	0.0102
5	Waveform 1	1	30.000000000	33.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	30.0000	Blue Grosbeak	blugrb1	0.0136
5	Spectrogram 1	1	30.000000000	33.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	30.0000	Blue Grosbeak	blugrb1	0.0136
6	Waveform 1	1	75.000000000	78.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	75.0000	Blue Grosbeak	blugrb1	0.0157
6	Spectrogram 1	1	75.000000000	78.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	75.0000	Blue Grosbeak	blugrb1	0.0157
7	Waveform 1	1	87.000000000	90.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	87.0000	Blue Grosbeak	blugrb1	0.0128
7	Spectrogram 1	1	87.000000000	90.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	87.0000	Blue Grosbeak	blugrb1	0.0128
8	Waveform 1	1	93.000000000	96.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	93.0000	Field Sparrow	fiespa	0.0174
8	Spectrogram 1	1	93.000000000	96.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	93.0000	Field Sparrow	fiespa	0.0174
9	Waveform 1	1	111.000000000	114.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	111.0000	Blue Grosbeak	blugrb1	0.0110
9	Spectrogram 1	1	111.000000000	114.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	111.0000	Blue Grosbeak	blugrb1	0.0110
10	Waveform 1	1	135.000000000	138.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	135.0000	Field Sparrow	fiespa	0.0278
10	Spectrogram 1	1	135.000000000	138.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	135.0000	Field Sparrow	fiespa	0.0278
11	Waveform 1	1	135.000000000	138.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	135.0000	Blue Grosbeak	blugrb1	0.0216
11	Spectrogram 1	1	135.000000000	138.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	135.0000	Blue Grosbeak	blugrb1	0.0216
12	Waveform 1	1	138.000000000	141.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	138.0000	Blue Grosbeak	blugrb1	0.0170
12	Spectrogram 1	1	138.000000000	141.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	138.0000	Blue Grosbeak	blugrb1	0.0170
13	Waveform 1	1	138.000000000	141.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	138.0000	Eastern Meadowlark	easmea	0.0167
13	Spectrogram 1	1	138.000000000	141.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	138.0000	Eastern Meadowlark	easmea	0.0167
14	Waveform 1	1	144.000000000	147.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	144.0000	Field Sparrow	fiespa	0.0285
14	Spectrogram 1	1	144.000000000	147.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	144.0000	Field Sparrow	fiespa	0.0285
15	Waveform 1	1	144.000000000	147.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	144.0000	Blue Grosbeak	blugrb1	0.0147
15	Spectrogram 1	1	144.000000000	147.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	144.0000	Blue Grosbeak	blugrb1	0.0147
16	Waveform 1	1	150.000000000	153.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	150.0000	Blue Grosbeak	blugrb1	0.0168
16	Spectrogram 1	1	150.000000000	153.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	150.0000	Blue Grosbeak	blugrb1	0.0168
17	Waveform 1	1	150.000000000	153.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	150.0000	Field Sparrow	fiespa	0.0153
17	Spectrogram 1	1	150.000000000	153.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	150.0000	Field Sparrow	fiespa	0.0153
18	Waveform 1	1	153.000000000	156.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	153.0000	Blue Grosbeak	blugrb1	0.0432
18	Spectrogram 1	1	153.000000000	156.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	153.0000	Blue Grosbeak	blugrb1	0.0432
19	Waveform 1	1	153.000000000	156.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	153.0000	Field Sparrow	fiespa	0.0293
19	Spectrogram 1	1	153.000000000	156.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	153.0000	Field Sparrow	fiespa	0.0293
20	Waveform 1	1	156.000000000	159.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	156.0000	Field Sparrow	fiespa	0.0616
20	Spectrogram 1	1	156.000000000	159.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	156.0000	Field Sparrow	fiespa	0.0616
21	Waveform 1	1	156.000000000	159.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	156.0000	Blue Grosbeak	blugrb1	0.0238
21	Spectrogram 1	1	156.000000000	159.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	156.0000	Blue Grosbeak	blugrb1	0.0238
22	Waveform 1	1	159.000000000	162.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	159.0000	Field Sparrow	fiespa	0.1213
22	Spectrogram 1	1	159.000000000	162.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	159.0000	Field Sparrow	fiespa	0.1213
23	Waveform 1	1	159.000000000	162.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	159.0000	Blue Grosbeak	blugrb1	0.1020
23	Spectrogram 1	1	159.000000000	162.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	159.0000	Blue Grosbeak	blugrb1	0.1020
24	Waveform 1	1	159.000000000	162.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	159.0000	Eastern Meadowlark	easmea	0.0125
24	Spectrogram 1	1	159.000000000	162.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	159.0000	Eastern Meadowlark	easmea	0.0125
25	Waveform 1	1	162.000000000	165.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	162.0000	Field Sparrow	fiespa	0.0462
25	Spectrogram 1	1	162.000000000	165.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	162.0000	Field Sparrow	fiespa	0.0462
26	Waveform 1	1	162.000000000	165.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	162.0000	Blue Grosbeak	blugrb1	0.0271
26	Spectrogram 1	1	162.000000000	165.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	162.0000	Blue Grosbeak	blugrb1	0.0271
27	Waveform 1	1	165.000000000	168.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	165.0000	Blue Grosbeak	blugrb1	0.0914
27	Spectrogram 1	1	165.000000000	168.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	165.0000	Blue Grosbeak	blugrb1	0.0914
28	Waveform 1	1	165.000000000	168.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	165.0000	Field Sparrow	fiespa	0.0788
28	Spectrogram 1	1	165.000000000	168.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	165.0000	Field Sparrow	fiespa	0.0788
29	Waveform 1	1	168.000000000	171.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	168.0000	Blue Grosbeak	blugrb1	0.0286
29	Spectrogram 1	1	168.000000000	171.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	168.0000	Blue Grosbeak	blugrb1	0.0286
30	Waveform 1	1	168.000000000	171.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	168.0000	Field Sparrow	fiespa	0.0284
30	Spectrogram 1	1	168.000000000	171.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	168.0000	Field Sparrow	fiespa	0.0284
31	Waveform 1	1	171.000000000	174.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	171.0000	Field Sparrow	fiespa	0.0496
31	Spectrogram 1	1	171.000000000	174.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	171.0000	Field Sparrow	fiespa	0.0496
32	Waveform 1	1	171.000000000	174.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	171.0000	Blue Grosbeak	blugrb1	0.0172
32	Spectrogram 1	1	171.000000000	174.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	171.0000	Blue Grosbeak	blugrb1	0.0172
33	Waveform 1	1	174.000000000	177.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	174.0000	Field Sparrow	fiespa	0.0765
33	Spectrogram 1	1	174.000000000	177.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	174.0000	Field Sparrow	fiespa	0.0765
34	Waveform 1	1	174.000000000	177.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	174.0000	Blue Grosbeak	blugrb1	0.0358
34	Spectrogram 1	1	174.000000000	177.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	174.0000	Blue Grosbeak	blugrb1	0.0358
35	Waveform 1	1	177.000000000	180.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	177.0000	Blue Grosbeak	blugrb1	0.0515
35	Spectrogram 1	1	177.000000000	180.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	177.0000	Blue Grosbeak	blugrb1	0.0515
36	Waveform 1	1	177.000000000	180.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	177.0000	Field Sparrow	fiespa	0.0488
36	Spectrogram 1	1	177.000000000	180.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	177.0000	Field Sparrow	fiespa	0.0488
37	Waveform 1	1	180.000000000	183.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	180.0000	Blue Grosbeak	blugrb1	0.0543
37	Spectrogram 1	1	180.000000000	183.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	180.0000	Blue Grosbeak	blugrb1	0.0543
38	Waveform 1	1	180.000000000	183.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	180.0000	Field Sparrow	fiespa	0.0334
38	Spectrogram 1	1	180.000000000	183.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	180.0000	Field Sparrow	fiespa	0.0334
39	Waveform 1	1	183.000000000	186.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	183.0000	Field Sparrow	fiespa	0.0896
39	Spectrogram 1	1	183.000000000	186.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	183.0000	Field Sparrow	fiespa	0.0896
40	Waveform 1	1	183.000000000	186.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	183.0000	Blue Grosbeak	blugrb1	0.0483
40	Spectrogram 1	1	183.000000000	186.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	183.0000	Blue Grosbeak	blugrb1	0.0483
41	Waveform 1	1	186.000000000	189.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	186.0000	Blue Grosbeak	blugrb1	0.0570
41	Spectrogram 1	1	186.000000000	189.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	186.0000	Blue Grosbeak	blugrb1	0.0570
42	Waveform 1	1	186.000000000	189.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	186.0000	Field Sparrow	fiespa	0.0540
42	Spectrogram 1	1	186.000000000	189.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	186.0000	Field Sparrow	fiespa	0.0540
43	Waveform 1	1	189.000000000	192.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	189.0000	Field Sparrow	fiespa	0.0760
43	Spectrogram 1	1	189.000000000	192.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	189.0000	Field Sparrow	fiespa	0.0760
44	Waveform 1	1	189.000000000	192.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	189.0000	Blue Grosbeak	blugrb1	0.0357
44	Spectrogram 1	1	189.000000000	192.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	189.0000	Blue Grosbeak	blugrb1	0.0357
45	Waveform 1	1	192.000000000	195.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	192.0000	Field Sparrow	fiespa	0.0298
45	Spectrogram 1	1	192.000000000	195.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	192.0000	Field Sparrow	fiespa	0.0298
46	Waveform 1	1	192.000000000	195.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	192.0000	Blue Grosbeak	blugrb1	0.0196
46	Spectrogram 1	1	192.000000000	195.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	192.0000	Blue Grosbeak	blugrb1	0.0196
47	Waveform 1	1	195.000000000	198.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	195.0000	Blue Grosbeak	blugrb1	0.0171
47	Spectrogram 1	1	195.000000000	198.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	195.0000	Blue Grosbeak	blugrb1	0.0171
48	Waveform 1	1	198.000000000	201.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	198.0000	Field Sparrow	fiespa	0.0381
48	Spectrogram 1	1	198.000000000	201.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	198.0000	Field Sparrow	fiespa	0.0381
49	Waveform 1	1	198.000000000	201.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	198.0000	Blue Grosbeak	blugrb1	0.0195
49	Spectrogram 1	1	198.000000000	201.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	198.0000	Blue Grosbeak	blugrb1	0.0195
50	Waveform 1	1	204.000000000	207.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	204.0000	Field Sparrow	fiespa	0.0625
50	Spectrogram 1	1	204.000000000	207.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	204.0000	Field Sparrow	fiespa	0.0625
51	Waveform 1	1	204.000000000	207.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	204.0000	Blue Grosbeak	blugrb1	0.0544
51	Spectrogram 1	1	204.000000000	207.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	204.0000	Blue Grosbeak	blugrb1	0.0544
52	Waveform 1	1	207.000000000	210.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	207.0000	Blue Grosbeak	blugrb1	0.0374
52	Spectrogram 1	1	207.000000000	210.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	207.0000	Blue Grosbeak	blugrb1	0.0374
53	Waveform 1	1	207.000000000	210.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	207.0000	Field Sparrow	fiespa	0.0348
53	Spectrogram 1	1	207.000000000	210.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	207.0000	Field Sparrow	fiespa	0.0348
54	Waveform 1	1	210.000000000	213.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	210.0000	Blue Grosbeak	blugrb1	0.0701
54	Spectrogram 1	1	210.000000000	213.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	210.0000	Blue Grosbeak	blugrb1	0.0701
55	Waveform 1	1	210.000000000	213.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	210.0000	Field Sparrow	fiespa	0.0307
55	Spectrogram 1	1	210.000000000	213.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	210.0000	Field Sparrow	fiespa	0.0307
56	Waveform 1	1	210.000000000	213.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	210.0000	Eastern Meadowlark	easmea	0.0126
56	Spectrogram 1	1	210.000000000	213.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	210.0000	Eastern Meadowlark	easmea	0.0126
57	Waveform 1	1	213.000000000	216.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	213.0000	Field Sparrow	fiespa	0.0799
57	Spectrogram 1	1	213.000000000	216.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	213.0000	Field Sparrow	fiespa	0.0799
58	Waveform 1	1	213.000000000	216.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	213.0000	Blue Grosbeak	blugrb1	0.0325
58	Spectrogram 1	1	213.000000000	216.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	213.0000	Blue Grosbeak	blugrb1	0.0325
59	Waveform 1	1	219.000000000	222.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	219.0000	Field Sparrow	fiespa	0.0438
59	Spectrogram 1	1	219.000000000	222.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	219.0000	Field Sparrow	fiespa	0.0438
60	Waveform 1	1	219.000000000	222.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	219.0000	Blue Grosbeak	blugrb1	0.0285
60	Spectrogram 1	1	219.000000000	222.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	219.0000	Blue Grosbeak	blugrb1	0.0285
61	Waveform 1	1	222.000000000	225.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	222.0000	Blue Grosbeak	blugrb1	0.0814
61	Spectrogram 1	1	222.000000000	225.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	222.0000	Blue Grosbeak	blugrb1	0.0814
62	Waveform 1	1	222.000000000	225.000000000	0.000	15000.000	D:\AcousticMonitoringData\ELDON6_Data\Week16\ELDON6_20250422_195602.wav	222.0000	Field Sparrow	fiespa	0.0764
