Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Field Sparrow	fiespa	0.4833	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	15000	Field Sparrow	fiespa	0.6861	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	15000	Field Sparrow	fiespa	0.2325	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	15000	Field Sparrow	fiespa	0.1013	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	9.0
5	Spectrogram 1	1	12.0	15.0	0	15000	Field Sparrow	fiespa	0.1131	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	12.0
6	Spectrogram 1	1	15.0	18.0	0	15000	Field Sparrow	fiespa	0.3578	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	15.0
7	Spectrogram 1	1	18.0	21.0	0	15000	Field Sparrow	fiespa	0.8111	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	18.0
8	Spectrogram 1	1	21.0	24.0	0	15000	Field Sparrow	fiespa	0.5660	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	21.0
9	Spectrogram 1	1	24.0	27.0	0	15000	Field Sparrow	fiespa	0.4723	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	24.0
10	Spectrogram 1	1	30.0	33.0	0	15000	Common Yellowthroat	comyel	0.2474	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	30.0
11	Spectrogram 1	1	36.0	39.0	0	15000	Common Yellowthroat	comyel	0.0705	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	36.0
12	Spectrogram 1	1	69.0	72.0	0	15000	Field Sparrow	fiespa	0.0639	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	69.0
13	Spectrogram 1	1	75.0	78.0	0	15000	Common Yellowthroat	comyel	0.1123	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	75.0
14	Spectrogram 1	1	105.0	108.0	0	15000	Common Yellowthroat	comyel	0.0502	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	105.0
15	Spectrogram 1	1	258.0	261.0	0	15000	Common Yellowthroat	comyel	0.0678	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	258.0
16	Spectrogram 1	1	267.0	270.0	0	15000	Common Yellowthroat	comyel	0.0533	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	267.0
17	Spectrogram 1	1	270.0	273.0	0	15000	Common Yellowthroat	comyel	0.0658	D:\AcousticMonitoringData\ELDON7_Data\Week17\ELDON7_20250506_200902.wav	270.0
