Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	132.0	135.0	0	15000	Common Yellowthroat	comyel	0.0656	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	132.0
2	Spectrogram 1	1	237.0	240.0	0	15000	Common Yellowthroat	comyel	0.0577	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	237.0
3	Spectrogram 1	1	243.0	246.0	0	15000	Common Yellowthroat	comyel	0.0593	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	243.0
4	Spectrogram 1	1	252.0	255.0	0	15000	Common Yellowthroat	comyel	0.0828	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	252.0
5	Spectrogram 1	1	264.0	267.0	0	15000	Common Yellowthroat	comyel	0.0943	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	264.0
6	Spectrogram 1	1	267.0	270.0	0	15000	Common Yellowthroat	comyel	0.0647	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	267.0
7	Spectrogram 1	1	276.0	279.0	0	15000	Common Yellowthroat	comyel	0.1066	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	276.0
8	Spectrogram 1	1	294.0	297.0	0	15000	Common Yellowthroat	comyel	0.1026	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	294.0
9	Spectrogram 1	1	300.0	303.0	0	15000	Common Yellowthroat	comyel	0.0996	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	300.0
10	Spectrogram 1	1	303.0	306.0	0	15000	Common Yellowthroat	comyel	0.1268	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	303.0
11	Spectrogram 1	1	387.0	390.0	0	15000	Common Yellowthroat	comyel	0.0561	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	387.0
12	Spectrogram 1	1	396.0	399.0	0	15000	Common Yellowthroat	comyel	0.1022	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	396.0
13	Spectrogram 1	1	444.0	447.0	0	15000	Common Yellowthroat	comyel	0.0508	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	444.0
14	Spectrogram 1	1	462.0	465.0	0	15000	Common Yellowthroat	comyel	0.0663	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	462.0
15	Spectrogram 1	1	474.0	477.0	0	15000	Common Yellowthroat	comyel	0.0638	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	474.0
16	Spectrogram 1	1	477.0	480.0	0	15000	Common Yellowthroat	comyel	0.0530	D:\AcousticMonitoringData\ELDON2_Data\Week20\ELDON2_20250527_045200.wav	477.0
