Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.000	24000.000	0.100_13_ELDON2_20250512_191500_2271.00s_2274.00s.wav	1
1	Spectrogram 1	1	0.000000000	3.000000000	0.000	24000.000	0.100_13_ELDON2_20250512_191500_2271.00s_2274.00s.wav	1
2	Waveform 1	1	3.000000000	6.000000000	0.000	24000.000	0.100_8_ELDON9_20250511_191400_1410.0s_1413.0s.wav	0
2	Spectrogram 1	1	3.000000000	6.000000000	0.000	24000.000	0.100_8_ELDON9_20250511_191400_1410.0s_1413.0s.wav	0
3	Waveform 1	1	6.000000000	9.000000000	0.000	24000.000	0.101_13_ELDON10_20250509_060602_1122.0s_1125.0s.wav	0
3	Spectrogram 1	1	6.000000000	9.000000000	0.000	24000.000	0.101_13_ELDON10_20250509_060602_1122.0s_1125.0s.wav	0
4	Waveform 1	1	9.000000000	12.000000000	0.000	24000.000	0.101_18_ELDON2_20250508_050800_3120.00s_3123.00s.wav	0
4	Spectrogram 1	1	9.000000000	12.000000000	0.000	24000.000	0.101_18_ELDON2_20250508_050800_3120.00s_3123.00s.wav	0
5	Waveform 1	1	12.000000000	15.000000000	0.000	24000.000	0.101_29_ELDON5_20250511_191400_972.0s_975.0s.wav	0
5	Spectrogram 1	1	12.000000000	15.000000000	0.000	24000.000	0.101_29_ELDON5_20250511_191400_972.0s_975.0s.wav	0
6	Waveform 1	1	15.000000000	18.000000000	0.000	24000.000	0.101_44_ELDON3_20250511_191400_726.00s_729.00s.wav	0
6	Spectrogram 1	1	15.000000000	18.000000000	0.000	24000.000	0.101_44_ELDON3_20250511_191400_726.00s_729.00s.wav	0
7	Waveform 1	1	18.000000000	21.000000000	0.000	24000.000	0.102_10_ELDON8_20250511_191400_1413.0s_1416.0s.wav	0
7	Spectrogram 1	1	18.000000000	21.000000000	0.000	24000.000	0.102_10_ELDON8_20250511_191400_1413.0s_1416.0s.wav	0
8	Waveform 1	1	21.000000000	24.000000000	0.000	24000.000	0.102_11_ELDON9_20250511_060402_2715.0s_2718.0s.wav	0
8	Spectrogram 1	1	21.000000000	24.000000000	0.000	24000.000	0.102_11_ELDON9_20250511_060402_2715.0s_2718.0s.wav	0
9	Waveform 1	1	24.000000000	27.000000000	0.000	24000.000	0.102_12_ELDON7_20250509_060602_1572.0s_1575.0s.wav	0
9	Spectrogram 1	1	24.000000000	27.000000000	0.000	24000.000	0.102_12_ELDON7_20250509_060602_1572.0s_1575.0s.wav	0
10	Waveform 1	1	27.000000000	30.000000000	0.000	24000.000	0.102_14_ELDON10_20250514_050200_3507.0s_3510.0s.wav	1
10	Spectrogram 1	1	27.000000000	30.000000000	0.000	24000.000	0.102_14_ELDON10_20250514_050200_3507.0s_3510.0s.wav	1
11	Waveform 1	1	30.000000000	33.000000000	0.000	24000.000	0.102_19_ELDON9_20250510_060502_1695.0s_1698.0s.wav	1
11	Spectrogram 1	1	30.000000000	33.000000000	0.000	24000.000	0.102_19_ELDON9_20250510_060502_1695.0s_1698.0s.wav	1
12	Waveform 1	1	33.000000000	36.000000000	0.000	24000.000	0.102_23_ELDON8_20250508_050800_3237.0s_3240.0s.wav	0
12	Spectrogram 1	1	33.000000000	36.000000000	0.000	24000.000	0.102_23_ELDON8_20250508_050800_3237.0s_3240.0s.wav	0
13	Waveform 1	1	36.000000000	39.000000000	0.000	24000.000	0.102_23_ELDON9_20250510_191300_1386.0s_1389.0s.wav	0
13	Spectrogram 1	1	36.000000000	39.000000000	0.000	24000.000	0.102_23_ELDON9_20250510_191300_1386.0s_1389.0s.wav	0
14	Waveform 1	1	39.000000000	42.000000000	0.000	24000.000	0.102_35_ELDON2_20250514_060202_2214.00s_2217.00s.wav	0
14	Spectrogram 1	1	39.000000000	42.000000000	0.000	24000.000	0.102_35_ELDON2_20250514_060202_2214.00s_2217.00s.wav	0
15	Waveform 1	1	42.000000000	45.000000000	0.000	24000.000	0.103_5_ELDON2_20250430_200402_372.0s_375.0s.wav	0
15	Spectrogram 1	1	42.000000000	45.000000000	0.000	24000.000	0.103_5_ELDON2_20250430_200402_372.0s_375.0s.wav	0
16	Waveform 1	1	45.000000000	48.000000000	0.000	24000.000	0.104_1_ELDON2_20250430_200402_501.0s_504.0s.wav	0
16	Spectrogram 1	1	45.000000000	48.000000000	0.000	24000.000	0.104_1_ELDON2_20250430_200402_501.0s_504.0s.wav	0
17	Waveform 1	1	48.000000000	51.000000000	0.000	24000.000	0.104_39_ELDON2_20250514_060202_1782.00s_1785.00s.wav	0
17	Spectrogram 1	1	48.000000000	51.000000000	0.000	24000.000	0.104_39_ELDON2_20250514_060202_1782.00s_1785.00s.wav	0
18	Waveform 1	1	51.000000000	54.000000000	0.000	24000.000	0.105_157_ELDON2_20250421_185500_1998.0s_2001.0s.wav	0
18	Spectrogram 1	1	51.000000000	54.000000000	0.000	24000.000	0.105_157_ELDON2_20250421_185500_1998.0s_2001.0s.wav	0
19	Waveform 1	1	54.000000000	57.000000000	0.000	24000.000	0.105_20_ELDON8_20250510_191300_69.0s_72.0s.wav	0
19	Spectrogram 1	1	54.000000000	57.000000000	0.000	24000.000	0.105_20_ELDON8_20250510_191300_69.0s_72.0s.wav	0
