Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.0	24000.0	0.100_125_ELDON1_20250421_185500_1695.0s_1698.0s.wav	1
1	Spectrogram 1	1	0.000000000	3.000000000	0.0	24000.0	0.100_125_ELDON1_20250421_185500_1695.0s_1698.0s.wav	1
2	Waveform 1	1	3.000000000	6.000000000	0.0	24000.0	0.101_131_ELDON2_20250421_185500_3447.0s_3450.0s.wav	1
2	Spectrogram 1	1	3.000000000	6.000000000	0.0	24000.0	0.101_131_ELDON2_20250421_185500_3447.0s_3450.0s.wav	1
3	Waveform 1	1	6.000000000	9.000000000	0.0	24000.0	0.101_1_ELDON6_20250419_053100_2985.0s_2988.0s.wav	1
3	Spectrogram 1	1	6.000000000	9.000000000	0.0	24000.0	0.101_1_ELDON6_20250419_053100_2985.0s_2988.0s.wav	1
4	Waveform 1	1	9.000000000	12.000000000	0.0	24000.0	0.101_20_ELDON4_20250420_195402_633.0s_636.0s.wav	0
4	Spectrogram 1	1	9.000000000	12.000000000	0.0	24000.0	0.101_20_ELDON4_20250420_195402_633.0s_636.0s.wav	0
5	Waveform 1	1	12.000000000	15.000000000	0.0	24000.0	0.101_34_ELDON5_20250418_063202_1905.0s_1908.0s.wav	1
5	Spectrogram 1	1	12.000000000	15.000000000	0.0	24000.0	0.101_34_ELDON5_20250418_063202_1905.0s_1908.0s.wav	1
6	Waveform 1	1	15.000000000	18.000000000	0.0	24000.0	0.101_79_ELDON3_20250421_195502_756.0s_759.0s.wav	0
6	Spectrogram 1	1	15.000000000	18.000000000	0.0	24000.0	0.101_79_ELDON3_20250421_195502_756.0s_759.0s.wav	0
7	Waveform 1	1	18.000000000	21.000000000	0.0	24000.0	0.102_139_ELDON2_20250421_185500_1731.0s_1734.0s.wav	1
7	Spectrogram 1	1	18.000000000	21.000000000	0.0	24000.0	0.102_139_ELDON2_20250421_185500_1731.0s_1734.0s.wav	1
8	Waveform 1	1	21.000000000	24.000000000	0.0	24000.0	0.102_25_ELDON3_20250424_062402_942.0s_945.0s.wav	1
8	Spectrogram 1	1	21.000000000	24.000000000	0.0	24000.0	0.102_25_ELDON3_20250424_062402_942.0s_945.0s.wav	1
9	Waveform 1	1	24.000000000	27.000000000	0.0	24000.0	0.102_3_ELDON1_20250430_061602_678.0s_681.0s.wav	1
9	Spectrogram 1	1	24.000000000	27.000000000	0.0	24000.0	0.102_3_ELDON1_20250430_061602_678.0s_681.0s.wav	1
10	Waveform 1	1	27.000000000	30.000000000	0.0	24000.0	0.102_65_ELDON5_20250418_063202_339.0s_342.0s.wav	1
10	Spectrogram 1	1	27.000000000	30.000000000	0.0	24000.0	0.102_65_ELDON5_20250418_063202_339.0s_342.0s.wav	1
11	Waveform 1	1	30.000000000	33.000000000	0.0	24000.0	0.102_9_ELDON2_20250428_051900_1392.0s_1395.0s.wav	0
11	Spectrogram 1	1	30.000000000	33.000000000	0.0	24000.0	0.102_9_ELDON2_20250428_051900_1392.0s_1395.0s.wav	0
12	Waveform 1	1	33.000000000	36.000000000	0.0	24000.0	0.103_178_ELDON2_20250418_053200_636.0s_639.0s.wav	0
12	Spectrogram 1	1	33.000000000	36.000000000	0.0	24000.0	0.103_178_ELDON2_20250418_053200_636.0s_639.0s.wav	0
13	Waveform 1	1	36.000000000	39.000000000	0.0	24000.0	0.103_208_ELDON10_20250421_185500_2790.0s_2793.0s.wav	1
13	Spectrogram 1	1	36.000000000	39.000000000	0.0	24000.0	0.103_208_ELDON10_20250421_185500_2790.0s_2793.0s.wav	1
14	Waveform 1	1	39.000000000	42.000000000	0.0	24000.0	0.103_90_ELDON1_20250421_185500_2385.0s_2388.0s.wav	1
14	Spectrogram 1	1	39.000000000	42.000000000	0.0	24000.0	0.103_90_ELDON1_20250421_185500_2385.0s_2388.0s.wav	1
15	Waveform 1	1	42.000000000	45.000000000	0.0	24000.0	0.104_15_ELDON6_20250418_053200_3549.0s_3552.0s.wav	1
15	Spectrogram 1	1	42.000000000	45.000000000	0.0	24000.0	0.104_15_ELDON6_20250418_053200_3549.0s_3552.0s.wav	1
16	Waveform 1	1	45.000000000	48.000000000	0.0	24000.0	0.104_5_ELDON2_20250428_200202_750.0s_753.0s.wav	1
16	Spectrogram 1	1	45.000000000	48.000000000	0.0	24000.0	0.104_5_ELDON2_20250428_200202_750.0s_753.0s.wav	1
17	Waveform 1	1	48.000000000	51.000000000	0.0	24000.0	0.105_60_ELDON3_20250421_195502_912.0s_915.0s.wav	1
17	Spectrogram 1	1	48.000000000	51.000000000	0.0	24000.0	0.105_60_ELDON3_20250421_195502_912.0s_915.0s.wav	1
18	Waveform 1	1	51.000000000	54.000000000	0.0	24000.0	0.105_7_ELDON2_20250428_200202_1086.0s_1089.0s.wav	0
18	Spectrogram 1	1	51.000000000	54.000000000	0.0	24000.0	0.105_7_ELDON2_20250428_200202_1086.0s_1089.0s.wav	0
19	Waveform 1	1	54.000000000	57.000000000	0.0	24000.0	0.106_124_ELDON2_20250421_185500_2256.0s_2259.0s.wav	1
19	Spectrogram 1	1	54.000000000	57.000000000	0.0	24000.0	0.106_124_ELDON2_20250421_185500_2256.0s_2259.0s.wav	1
20	Waveform 1	1	57.000000000	60.000000000	0.0	24000.0	0.106_15_ELDON3_20250424_195802_603.0s_606.0s.wav	1
20	Spectrogram 1	1	57.000000000	60.000000000	0.0	24000.0	0.106_15_ELDON3_20250424_195802_603.0s_606.0s.wav	1
21	Waveform 1	1	60.000000000	63.000000000	0.0	24000.0	0.106_19_ELDON6_20250418_063202_1644.0s_1647.0s.wav	1
21	Spectrogram 1	1	60.000000000	63.000000000	0.0	24000.0	0.106_19_ELDON6_20250418_063202_1644.0s_1647.0s.wav	1
22	Waveform 1	1	63.000000000	66.000000000	0.0	24000.0	0.106_1_ELDON1_20250424_185800_3384.0s_3387.0s.wav	0
22	Spectrogram 1	1	63.000000000	66.000000000	0.0	24000.0	0.106_1_ELDON1_20250424_185800_3384.0s_3387.0s.wav	0
23	Waveform 1	1	66.000000000	69.000000000	0.0	24000.0	0.106_21_ELDON5_20250421_185500_2718.0s_2721.0s.wav	1
23	Spectrogram 1	1	66.000000000	69.000000000	0.0	24000.0	0.106_21_ELDON5_20250421_185500_2718.0s_2721.0s.wav	1
24	Waveform 1	1	69.000000000	72.000000000	0.0	24000.0	0.106_64_ELDON4_20250421_185500_1140.0s_1143.0s.wav	0
24	Spectrogram 1	1	69.000000000	72.000000000	0.0	24000.0	0.106_64_ELDON4_20250421_185500_1140.0s_1143.0s.wav	0
25	Waveform 1	1	72.000000000	75.000000000	0.0	24000.0	0.106_80_ELDON1_20250420_185400_1695.0s_1698.0s.wav	1
25	Spectrogram 1	1	72.000000000	75.000000000	0.0	24000.0	0.106_80_ELDON1_20250420_185400_1695.0s_1698.0s.wav	1
26	Waveform 1	1	75.000000000	78.000000000	0.0	24000.0	0.107_210_ELDON2_20250417_195102_894.0s_897.0s.wav	1
26	Spectrogram 1	1	75.000000000	78.000000000	0.0	24000.0	0.107_210_ELDON2_20250417_195102_894.0s_897.0s.wav	1
27	Waveform 1	1	78.000000000	81.000000000	0.0	24000.0	0.107_9_ELDON2_20250429_061802_3108.0s_3111.0s.wav	0
27	Spectrogram 1	1	78.000000000	81.000000000	0.0	24000.0	0.107_9_ELDON2_20250429_061802_3108.0s_3111.0s.wav	0
