,Start (s),End (s),Scientific name,Common name,Confidence,File,Date,Recorder
1,3510,3513,Passerina caerulea,Blue Grosbeak,0.6248,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
2,3534,3537,Passerina caerulea,Blue Grosbeak,0.6559,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
3,3537,3540,Passerina caerulea,Blue Grosbeak,0.845,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
4,3543,3546,Passerina caerulea,Blue Grosbeak,0.8105,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
5,3546,3549,Passerina caerulea,Blue Grosbeak,0.8041,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
6,3552,3555,Passerina caerulea,Blue Grosbeak,0.6323,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
7,3576,3579,Passerina caerulea,Blue Grosbeak,0.8225,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
8,3582,3585,Passerina caerulea,Blue Grosbeak,0.9188,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
9,3594,3597,Passerina caerulea,Blue Grosbeak,0.7996,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250423_185700.wav,20250423,ELDON10
10,2841,2844,Passerina caerulea,Blue Grosbeak,0.7542,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250424_185800.wav,20250424,ELDON10
11,2865,2868,Passerina caerulea,Blue Grosbeak,0.9241,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250424_185800.wav,20250424,ELDON10
12,3291,3294,Passerina caerulea,Blue Grosbeak,0.8842,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250425_052300.wav,20250425,ELDON10
13,3312,3315,Passerina caerulea,Blue Grosbeak,0.6539,D:/AcousticMonitoringData/ELDON10_Data/Week16\ELDON10_20250425_052300.wav,20250425,ELDON10
