Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.0	24000.0	0.100_1_ELDON6_20250419_063102_3504.0s_3507.0s.wav	1
1	Spectrogram 1	1	0.000000000	3.000000000	0.0	24000.0	0.100_1_ELDON6_20250419_063102_3504.0s_3507.0s.wav	1
2	Waveform 1	1	3.000000000	6.000000000	0.0	24000.0	0.100_36_ELDON3_20250421_062802_132.0s_135.0s.wav	0
2	Spectrogram 1	1	3.000000000	6.000000000	0.0	24000.0	0.100_36_ELDON3_20250421_062802_132.0s_135.0s.wav	0
3	Waveform 1	1	6.000000000	9.000000000	0.0	24000.0	0.100_45_ELDON4_20250420_062902_1395.0s_1398.0s.wav	1
3	Spectrogram 1	1	6.000000000	9.000000000	0.0	24000.0	0.100_45_ELDON4_20250420_062902_1395.0s_1398.0s.wav	1
4	Waveform 1	1	9.000000000	12.000000000	0.0	24000.0	0.101_10_ELDON2_20250419_195302_6.0s_9.0s.wav	1
4	Spectrogram 1	1	9.000000000	12.000000000	0.0	24000.0	0.101_10_ELDON2_20250419_195302_6.0s_9.0s.wav	1
5	Waveform 1	1	12.000000000	15.000000000	0.0	24000.0	0.101_3_ELDON5_20250418_063202_1764.0s_1767.0s.wav	1
5	Spectrogram 1	1	12.000000000	15.000000000	0.0	24000.0	0.101_3_ELDON5_20250418_063202_1764.0s_1767.0s.wav	1
6	Waveform 1	1	15.000000000	18.000000000	0.0	24000.0	0.102_13_ELDON5_20250421_062802_951.0s_954.0s.wav	0
6	Spectrogram 1	1	15.000000000	18.000000000	0.0	24000.0	0.102_13_ELDON5_20250421_062802_951.0s_954.0s.wav	0
7	Waveform 1	1	18.000000000	21.000000000	0.0	24000.0	0.102_7_ELDON5_20250419_063102_3567.0s_3570.0s.wav	1
7	Spectrogram 1	1	18.000000000	21.000000000	0.0	24000.0	0.102_7_ELDON5_20250419_063102_3567.0s_3570.0s.wav	1
8	Waveform 1	1	21.000000000	24.000000000	0.0	24000.0	0.104_219_ELDON4_20250418_053200_1548.0s_1551.0s.wav	0
8	Spectrogram 1	1	21.000000000	24.000000000	0.0	24000.0	0.104_219_ELDON4_20250418_053200_1548.0s_1551.0s.wav	0
9	Waveform 1	1	24.000000000	27.000000000	0.0	24000.0	0.104_5_ELDON5_20250419_185300_3537.0s_3540.0s.wav	0
9	Spectrogram 1	1	24.000000000	27.000000000	0.0	24000.0	0.104_5_ELDON5_20250419_185300_3537.0s_3540.0s.wav	0
10	Waveform 1	1	27.000000000	30.000000000	0.0	24000.0	0.106_1_ELDON5_20250421_052800_2238.0s_2241.0s.wav	1
10	Spectrogram 1	1	27.000000000	30.000000000	0.0	24000.0	0.106_1_ELDON5_20250421_052800_2238.0s_2241.0s.wav	1
11	Waveform 1	1	30.000000000	33.000000000	0.0	24000.0	0.106_3_ELDON4_20250422_185600_3246.0s_3249.0s.wav	0
11	Spectrogram 1	1	30.000000000	33.000000000	0.0	24000.0	0.106_3_ELDON4_20250422_185600_3246.0s_3249.0s.wav	0
12	Waveform 1	1	33.000000000	36.000000000	0.0	24000.0	0.106_63_ELDON10_20250421_195502_78.0s_81.0s.wav	0
12	Spectrogram 1	1	33.000000000	36.000000000	0.0	24000.0	0.106_63_ELDON10_20250421_195502_78.0s_81.0s.wav	0
13	Waveform 1	1	36.000000000	39.000000000	0.0	24000.0	0.108_1_ELDON5_20250421_062802_2208.0s_2211.0s.wav	1
13	Spectrogram 1	1	36.000000000	39.000000000	0.0	24000.0	0.108_1_ELDON5_20250421_062802_2208.0s_2211.0s.wav	1
14	Waveform 1	1	39.000000000	42.000000000	0.0	24000.0	0.108_46_ELDON3_20250419_185300_2733.0s_2736.0s.wav	1
14	Spectrogram 1	1	39.000000000	42.000000000	0.0	24000.0	0.108_46_ELDON3_20250419_185300_2733.0s_2736.0s.wav	1
15	Waveform 1	1	42.000000000	45.000000000	0.0	24000.0	0.108_8_ELDON5_20250419_063102_1140.0s_1143.0s.wav	1
15	Spectrogram 1	1	42.000000000	45.000000000	0.0	24000.0	0.108_8_ELDON5_20250419_063102_1140.0s_1143.0s.wav	1
16	Waveform 1	1	45.000000000	48.000000000	0.0	24000.0	0.109_52_ELDON4_20250420_062902_3138.0s_3141.0s.wav	1
16	Spectrogram 1	1	45.000000000	48.000000000	0.0	24000.0	0.109_52_ELDON4_20250420_062902_3138.0s_3141.0s.wav	1
17	Waveform 1	1	48.000000000	51.000000000	0.0	24000.0	0.114_13_ELDON5_20250420_185400_2286.0s_2289.0s.wav	0
17	Spectrogram 1	1	48.000000000	51.000000000	0.0	24000.0	0.114_13_ELDON5_20250420_185400_2286.0s_2289.0s.wav	0
18	Waveform 1	1	51.000000000	54.000000000	0.0	24000.0	0.115_10_ELDON5_20250419_063102_3228.0s_3231.0s.wav	1
18	Spectrogram 1	1	51.000000000	54.000000000	0.0	24000.0	0.115_10_ELDON5_20250419_063102_3228.0s_3231.0s.wav	1
19	Waveform 1	1	54.000000000	57.000000000	0.0	24000.0	0.117_128_ELDON10_20250421_185500_411.0s_414.0s.wav	0
19	Spectrogram 1	1	54.000000000	57.000000000	0.0	24000.0	0.117_128_ELDON10_20250421_185500_411.0s_414.0s.wav	0
20	Waveform 1	1	57.000000000	60.000000000	0.0	24000.0	0.118_4_ELDON5_20250420_185400_1215.0s_1218.0s.wav	0
20	Spectrogram 1	1	57.000000000	60.000000000	0.0	24000.0	0.118_4_ELDON5_20250420_185400_1215.0s_1218.0s.wav	0
21	Waveform 1	1	60.000000000	63.000000000	0.0	24000.0	0.118_57_ELDON4_20250419_063102_3534.0s_3537.0s.wav	1
21	Spectrogram 1	1	60.000000000	63.000000000	0.0	24000.0	0.118_57_ELDON4_20250419_063102_3534.0s_3537.0s.wav	1
22	Waveform 1	1	63.000000000	66.000000000	0.0	24000.0	0.120_116_ELDON4_20250421_185500_222.0s_225.0s.wav	1
22	Spectrogram 1	1	63.000000000	66.000000000	0.0	24000.0	0.120_116_ELDON4_20250421_185500_222.0s_225.0s.wav	1
23	Waveform 1	1	66.000000000	69.000000000	0.0	24000.0	0.121_4_ELDON5_20250421_185500_1047.0s_1050.0s.wav	0
23	Spectrogram 1	1	66.000000000	69.000000000	0.0	24000.0	0.121_4_ELDON5_20250421_185500_1047.0s_1050.0s.wav	0
24	Waveform 1	1	69.000000000	72.000000000	0.0	24000.0	0.122_4_ELDON3_20250419_063102_3009.0s_3012.0s.wav	1
24	Spectrogram 1	1	69.000000000	72.000000000	0.0	24000.0	0.122_4_ELDON3_20250419_063102_3009.0s_3012.0s.wav	1
25	Waveform 1	1	72.000000000	75.000000000	0.0	24000.0	0.123_12_ELDON4_20250423_185700_3252.0s_3255.0s.wav	1
25	Spectrogram 1	1	72.000000000	75.000000000	0.0	24000.0	0.123_12_ELDON4_20250423_185700_3252.0s_3255.0s.wav	1
26	Waveform 1	1	75.000000000	78.000000000	0.0	24000.0	0.123_9_ELDON5_20250418_063202_2616.0s_2619.0s.wav	0
26	Spectrogram 1	1	75.000000000	78.000000000	0.0	24000.0	0.123_9_ELDON5_20250418_063202_2616.0s_2619.0s.wav	0
27	Waveform 1	1	78.000000000	81.000000000	0.0	24000.0	0.124_13_ELDON6_20250420_062902_2703.0s_2706.0s.wav	1
27	Spectrogram 1	1	78.000000000	81.000000000	0.0	24000.0	0.124_13_ELDON6_20250420_062902_2703.0s_2706.0s.wav	1
28	Waveform 1	1	81.000000000	84.000000000	0.0	24000.0	0.124_8_ELDON1_20250425_062302_156.0s_159.0s.wav	1
28	Spectrogram 1	1	81.000000000	84.000000000	0.0	24000.0	0.124_8_ELDON1_20250425_062302_156.0s_159.0s.wav	1
29	Waveform 1	1	84.000000000	87.000000000	0.0	24000.0	0.126_144_ELDON4_20250418_063202_2679.0s_2682.0s.wav	0
29	Spectrogram 1	1	84.000000000	87.000000000	0.0	24000.0	0.126_144_ELDON4_20250418_063202_2679.0s_2682.0s.wav	0
30	Waveform 1	1	87.000000000	90.000000000	0.0	24000.0	0.127_2_ELDON5_20250419_053100_2100.0s_2103.0s.wav	0
30	Spectrogram 1	1	87.000000000	90.000000000	0.0	24000.0	0.127_2_ELDON5_20250419_053100_2100.0s_2103.0s.wav	0
31	Waveform 1	1	90.000000000	93.000000000	0.0	24000.0	0.128_41_ELDON3_20250422_062702_2523.0s_2526.0s.wav	1
31	Spectrogram 1	1	90.000000000	93.000000000	0.0	24000.0	0.128_41_ELDON3_20250422_062702_2523.0s_2526.0s.wav	1
32	Waveform 1	1	93.000000000	96.000000000	0.0	24000.0	0.129_2_ELDON2_20250422_195602_105.0s_108.0s.wav	1
32	Spectrogram 1	1	93.000000000	96.000000000	0.0	24000.0	0.129_2_ELDON2_20250422_195602_105.0s_108.0s.wav	1
33	Waveform 1	1	96.000000000	99.000000000	0.0	24000.0	0.129_58_ELDON4_20250419_063102_3570.0s_3573.0s.wav	1
33	Spectrogram 1	1	96.000000000	99.000000000	0.0	24000.0	0.129_58_ELDON4_20250419_063102_3570.0s_3573.0s.wav	1
34	Waveform 1	1	99.000000000	102.000000000	0.0	24000.0	0.130_5_ELDON5_20250420_185400_2319.0s_2322.0s.wav	0
34	Spectrogram 1	1	99.000000000	102.000000000	0.0	24000.0	0.130_5_ELDON5_20250420_185400_2319.0s_2322.0s.wav	0
35	Waveform 1	1	102.000000000	105.000000000	0.0	24000.0	0.131_62_ELDON10_20250421_195502_660.0s_663.0s.wav	0
35	Spectrogram 1	1	102.000000000	105.000000000	0.0	24000.0	0.131_62_ELDON10_20250421_195502_660.0s_663.0s.wav	0
36	Waveform 1	1	105.000000000	108.000000000	0.0	24000.0	0.131_8_ELDON5_20250420_062902_1503.0s_1506.0s.wav	1
36	Spectrogram 1	1	105.000000000	108.000000000	0.0	24000.0	0.131_8_ELDON5_20250420_062902_1503.0s_1506.0s.wav	1
37	Waveform 1	1	108.000000000	111.000000000	0.0	24000.0	0.133_42_ELDON2_20250420_062902_2130.0s_2133.0s.wav	0
37	Spectrogram 1	1	108.000000000	111.000000000	0.0	24000.0	0.133_42_ELDON2_20250420_062902_2130.0s_2133.0s.wav	0
38	Waveform 1	1	111.000000000	114.000000000	0.0	24000.0	0.135_11_ELDON5_20250421_062802_2286.0s_2289.0s.wav	1
38	Spectrogram 1	1	111.000000000	114.000000000	0.0	24000.0	0.135_11_ELDON5_20250421_062802_2286.0s_2289.0s.wav	1
39	Waveform 1	1	114.000000000	117.000000000	0.0	24000.0	0.136_126_ELDON10_20250421_185500_2718.0s_2721.0s.wav	0
39	Spectrogram 1	1	114.000000000	117.000000000	0.0	24000.0	0.136_126_ELDON10_20250421_185500_2718.0s_2721.0s.wav	0
40	Waveform 1	1	117.000000000	120.000000000	0.0	24000.0	0.137_3_ELDON3_20250418_063202_1698.0s_1701.0s.wav	1
