"Start (s)","End (s)","Scientific name","Common name","Confidence","File","Date","Recorder","ID"
6,9,"Eremophila alpestris","Horned Lark",0.0658,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",1
12,15,"Sturnella magna","Eastern Meadowlark",0.0767,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",2
72,75,"Eremophila alpestris","Horned Lark",0.0898,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",3
153,156,"Eremophila alpestris","Horned Lark",0.0517,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",4
198,201,"Sturnella magna","Eastern Meadowlark",0.0689,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",5
318,321,"Eremophila alpestris","Horned Lark",0.0635,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",6
321,324,"Eremophila alpestris","Horned Lark",0.064,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",7
372,375,"Sturnella magna","Eastern Meadowlark",0.0647,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",8
492,495,"Sturnella magna","Eastern Meadowlark",0.069,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",9
531,534,"Bartramia longicauda","Upland Sandpiper",0.0922,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",10
534,537,"Bartramia longicauda","Upland Sandpiper",0.0514,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",11
555,558,"Sturnella magna","Eastern Meadowlark",0.0602,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",12
630,633,"Sturnella magna","Eastern Meadowlark",0.0641,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",13
648,651,"Sturnella magna","Eastern Meadowlark",0.0607,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",14
678,681,"Sturnella magna","Eastern Meadowlark",0.2539,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",15
678,681,"Eremophila alpestris","Horned Lark",0.1101,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",16
1197,1200,"Sturnella magna","Eastern Meadowlark",0.5341,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",17
1200,1203,"Sturnella magna","Eastern Meadowlark",0.3759,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",18
1230,1233,"Sturnella magna","Eastern Meadowlark",0.0634,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",19
1251,1254,"Sturnella magna","Eastern Meadowlark",0.0597,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",20
1260,1263,"Sturnella magna","Eastern Meadowlark",0.1152,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",21
1302,1305,"Sturnella magna","Eastern Meadowlark",0.0618,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",22
1332,1335,"Sturnella magna","Eastern Meadowlark",0.0511,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",23
1380,1383,"Sturnella magna","Eastern Meadowlark",0.147,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",24
1449,1452,"Sturnella magna","Eastern Meadowlark",0.0572,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",25
1470,1473,"Sturnella magna","Eastern Meadowlark",0.2729,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",26
1476,1479,"Sturnella magna","Eastern Meadowlark",0.151,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",27
1677,1680,"Sturnella magna","Eastern Meadowlark",0.0578,"E:\AcousticMonitoringData\ELDON1_Data\Week15\ELDON1_20250417_185100.wav",20250417,"ELDON1",28
