"Start (s)","End (s)","Scientific name","Common name","Confidence","File","Date","Recorder"
15,18,"Sturnella magna","Eastern Meadowlark",0.064,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
21,24,"Sturnella magna","Eastern Meadowlark",0.1453,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
30,33,"Sturnella magna","Eastern Meadowlark",0.0825,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
39,42,"Sturnella magna","Eastern Meadowlark",0.2657,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
42,45,"Geothlypis trichas","Common Yellowthroat",0.0516,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
48,51,"Sturnella magna","Eastern Meadowlark",0.4806,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
54,57,"Sturnella magna","Eastern Meadowlark",0.0512,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
84,87,"Sturnella magna","Eastern Meadowlark",0.0504,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
126,129,"Sturnella magna","Eastern Meadowlark",0.061,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
141,144,"Sturnella magna","Eastern Meadowlark",0.2993,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
165,168,"Sturnella magna","Eastern Meadowlark",0.16,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
171,174,"Sturnella magna","Eastern Meadowlark",0.1145,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
177,180,"Sturnella magna","Eastern Meadowlark",0.8859,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
183,186,"Sturnella magna","Eastern Meadowlark",0.1853,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
189,192,"Sturnella magna","Eastern Meadowlark",0.6697,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
195,198,"Sturnella magna","Eastern Meadowlark",0.941,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
201,204,"Sturnella magna","Eastern Meadowlark",0.3519,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
207,210,"Sturnella magna","Eastern Meadowlark",0.3085,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
291,294,"Sturnella magna","Eastern Meadowlark",0.2926,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
297,300,"Sturnella magna","Eastern Meadowlark",0.7728,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
306,309,"Sturnella magna","Eastern Meadowlark",0.0752,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
324,327,"Sturnella magna","Eastern Meadowlark",0.1922,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
366,369,"Geothlypis trichas","Common Yellowthroat",0.0573,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
381,384,"Sturnella magna","Eastern Meadowlark",0.1209,"E:\AcousticMonitoringData\ELDON6_Data\Week15\ELDON6_20250417_185100.wav",20250417,"ELDON6"
