,Scientific Name,Common Name
1,Cardinalis cardinalis,Northern Cardinal
2,Zenaida macroura,Mourning Dove
3,Corvus brachyrhynchos,American Crow
4,Baeolophus bicolor,Tufted Titmouse
5,Thryothorus ludovicianus,Carolina Wren
6,Cathartes aura,Turkey Vulture
7,Turdus migratorius,American Robin
8,Poecile carolinensis,Carolina Chickadee
9,Melanerpes carolinus,Red-bellied Woodpecker
10,Spizella passerina,Chipping Sparrow
11,Cyanocitta cristata,Blue Jay
12,Melospiza melodia,Song Sparrow
13,Agelaius phoeniceus,Red-winged Blackbird
14,Quiscalus quiscula,Common Grackle
16,Molothrus ater,Brown-headed Cowbird
18,Spinus tristis,American Goldfinch
19,Sialia sialis,Eastern Bluebird
20,Pipilo erythrophthalmus,Eastern Towhee
21,Zonotrichia albicollis,White-throated Sparrow
22,Sayornis phoebe,Eastern Phoebe
23,Sturnus vulgaris,European Starling
24,Mimus polyglottos,Northern Mockingbird
25,Polioptila caerulea,Blue-gray Gnatcatcher
27,Haemorhous mexicanus,House Finch
28,Tachycineta bicolor,Tree Swallow
29,Spizella pusilla,Field Sparrow
31,Toxostoma rufum,Brown Thrasher
33,Colaptes auratus,Northern Flicker
36,Hirundo rustica,Barn Swallow
39,Passer domesticus,House Sparrow
41,Corvus ossifragus,Fish Crow
42,Charadrius vociferus,Killdeer
45,Coragyps atratus,Black Vulture
46,Stelgidopteryx serripennis,Northern Rough-winged Swallow
47,Buteo jamaicensis,Red-tailed Hawk
51,Buteo lineatus,Red-shouldered Hawk
52,Dumetella carolinensis,Gray Catbird
54,Sturnella magna,Eastern Meadowlark
55,Troglodytes aedon,House Wren
57,Geothlypis trichas,Common Yellowthroat
62,Columba livia,Rock Pigeon
64,Junco hyemalis,Dark-eyed Junco
65,Meleagris gallopavo,Wild Turkey
66,Parkesia motacilla,Louisiana Waterthrush
67,Archilochus colubris,Ruby-throated Hummingbird
69,Tringa melanoleuca,Greater Yellowlegs
76,Melospiza georgiana,Swamp Sparrow
78,Haliaeetus leucocephalus,Bald Eagle
79,Zonotrichia leucophrys,White-crowned Sparrow
82,Bombycilla cedrorum,Cedar Waxwing
84,Passerculus sandwichensis,Savannah Sparrow
87,Tyrannus tyrannus,Eastern Kingbird
89,Accipiter cooperii,Cooper's Hawk
90,Tringa flavipes,Lesser Yellowlegs
100,Falco sparverius,American Kestrel
103,Setophaga discolor,Prairie Warbler
112,Passerina cyanea,Indigo Bunting
120,Buteo platypterus,Broad-winged Hawk
122,Actitis macularius,Spotted Sandpiper
129,Circus hudsonius,Northern Harrier
131,Corvus corax,Common Raven
133,Tringa solitaria,Solitary Sandpiper
135,Icterus spurius,Orchard Oriole
138,Gallinago delicata,Wilson's Snipe
139,Colinus virginianus,Northern Bobwhite
145,Eremophila alpestris,Horned Lark
157,Passerina caerulea,Blue Grosbeak
160,Falco peregrinus,Peregrine Falcon
287,Icteria virens,Yellow-breasted Chat
340,Antrostomus vociferus,Eastern Whip-poor-will
497,Dolichonyx oryzivorus,Bobolink
690,Ammodramus savannarum,Grasshopper Sparrow
1000,Chordeiles minor,Common Nighthawk
1158,Spiza americana,Dickcissel
