Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.0	24000.0	0.100_137_ELDON2_20250421_062802_3567.0s_3570.0s.wav	1
1	Spectrogram 1	1	0.000000000	3.000000000	0.0	24000.0	0.100_137_ELDON2_20250421_062802_3567.0s_3570.0s.wav	1
2	Waveform 1	1	3.000000000	6.000000000	0.0	24000.0	0.100_15_ELDON5_20250418_053200_1986.0s_1989.0s.wav	0
2	Spectrogram 1	1	3.000000000	6.000000000	0.0	24000.0	0.100_15_ELDON5_20250418_053200_1986.0s_1989.0s.wav	0
3	Waveform 1	1	6.000000000	9.000000000	0.0	24000.0	0.100_87_ELDON4_20250419_053100_3375.0s_3378.0s.wav	0
3	Spectrogram 1	1	6.000000000	9.000000000	0.0	24000.0	0.100_87_ELDON4_20250419_053100_3375.0s_3378.0s.wav	0
4	Waveform 1	1	9.000000000	12.000000000	0.0	24000.0	0.101_103_ELDON3_20250419_185300_690.0s_693.0s.wav	0
4	Spectrogram 1	1	9.000000000	12.000000000	0.0	24000.0	0.101_103_ELDON3_20250419_185300_690.0s_693.0s.wav	0
5	Waveform 1	1	12.000000000	15.000000000	0.0	24000.0	0.101_19_ELDON10_20250421_195502_339.0s_342.0s.wav	0
5	Spectrogram 1	1	12.000000000	15.000000000	0.0	24000.0	0.101_19_ELDON10_20250421_195502_339.0s_342.0s.wav	0
6	Waveform 1	1	15.000000000	18.000000000	0.0	24000.0	0.101_39_ELDON6_20250421_062802_660.0s_663.0s.wav	0
6	Spectrogram 1	1	15.000000000	18.000000000	0.0	24000.0	0.101_39_ELDON6_20250421_062802_660.0s_663.0s.wav	0
7	Waveform 1	1	18.000000000	21.000000000	0.0	24000.0	0.101_82_ELDON4_20250419_053100_1974.0s_1977.0s.wav	0
7	Spectrogram 1	1	18.000000000	21.000000000	0.0	24000.0	0.101_82_ELDON4_20250419_053100_1974.0s_1977.0s.wav	0
8	Waveform 1	1	21.000000000	24.000000000	0.0	24000.0	0.102_3_ELDON4_20250428_051900_1098.0s_1101.0s.wav	0
8	Spectrogram 1	1	21.000000000	24.000000000	0.0	24000.0	0.102_3_ELDON4_20250428_051900_1098.0s_1101.0s.wav	0
9	Waveform 1	1	24.000000000	27.000000000	0.0	24000.0	0.102_89_ELDON4_20250420_062902_3171.0s_3174.0s.wav	0
9	Spectrogram 1	1	24.000000000	27.000000000	0.0	24000.0	0.102_89_ELDON4_20250420_062902_3171.0s_3174.0s.wav	0
10	Waveform 1	1	27.000000000	30.000000000	0.0	24000.0	0.103_12_ELDON2_20250423_062502_1779.0s_1782.0s.wav	1
10	Spectrogram 1	1	27.000000000	30.000000000	0.0	24000.0	0.103_12_ELDON2_20250423_062502_1779.0s_1782.0s.wav	1
11	Waveform 1	1	30.000000000	33.000000000	0.0	24000.0	0.103_1_ELDON1_20250425_062302_2859.0s_2862.0s.wav	0
11	Spectrogram 1	1	30.000000000	33.000000000	0.0	24000.0	0.103_1_ELDON1_20250425_062302_2859.0s_2862.0s.wav	0
12	Waveform 1	1	33.000000000	36.000000000	0.0	24000.0	0.104_24_ELDON5_20250418_063202_1914.0s_1917.0s.wav	0
12	Spectrogram 1	1	33.000000000	36.000000000	0.0	24000.0	0.104_24_ELDON5_20250418_063202_1914.0s_1917.0s.wav	0
13	Waveform 1	1	36.000000000	39.000000000	0.0	24000.0	0.104_382_ELDON3_20250418_063202_783.0s_786.0s.wav	0
13	Spectrogram 1	1	36.000000000	39.000000000	0.0	24000.0	0.104_382_ELDON3_20250418_063202_783.0s_786.0s.wav	0
14	Waveform 1	1	39.000000000	42.000000000	0.0	24000.0	0.104_88_ELDON4_20250419_053100_3558.0s_3561.0s.wav	1
14	Spectrogram 1	1	39.000000000	42.000000000	0.0	24000.0	0.104_88_ELDON4_20250419_053100_3558.0s_3561.0s.wav	1
15	Waveform 1	1	42.000000000	45.000000000	0.0	24000.0	0.105_15_ELDON6_20250419_063102_2238.0s_2241.0s.wav	0
15	Spectrogram 1	1	42.000000000	45.000000000	0.0	24000.0	0.105_15_ELDON6_20250419_063102_2238.0s_2241.0s.wav	0
16	Waveform 1	1	45.000000000	48.000000000	0.0	24000.0	0.106_373_ELDON3_20250418_063202_2937.0s_2940.0s.wav	0
16	Spectrogram 1	1	45.000000000	48.000000000	0.0	24000.0	0.106_373_ELDON3_20250418_063202_2937.0s_2940.0s.wav	0
17	Waveform 1	1	48.000000000	51.000000000	0.0	24000.0	0.106_4_ELDON3_20250422_052700_3309.0s_3312.0s.wav	1
17	Spectrogram 1	1	48.000000000	51.000000000	0.0	24000.0	0.106_4_ELDON3_20250422_052700_3309.0s_3312.0s.wav	1
18	Waveform 1	1	51.000000000	54.000000000	0.0	24000.0	0.107_1_ELDON1_20250429_061802_1710.0s_1713.0s.wav	0
18	Spectrogram 1	1	51.000000000	54.000000000	0.0	24000.0	0.107_1_ELDON1_20250429_061802_1710.0s_1713.0s.wav	0
19	Waveform 1	1	54.000000000	57.000000000	0.0	24000.0	0.107_22_ELDON10_20250421_195502_312.0s_315.0s.wav	0
19	Spectrogram 1	1	54.000000000	57.000000000	0.0	24000.0	0.107_22_ELDON10_20250421_195502_312.0s_315.0s.wav	0
20	Waveform 1	1	57.000000000	60.000000000	0.0	24000.0	0.107_6_ELDON2_20250422_185600_762.0s_765.0s.wav	0
20	Spectrogram 1	1	57.000000000	60.000000000	0.0	24000.0	0.107_6_ELDON2_20250422_185600_762.0s_765.0s.wav	0
21	Waveform 1	1	60.000000000	63.000000000	0.0	24000.0	0.108_241_ELDON2_20250418_063202_2139.0s_2142.0s.wav	0
21	Spectrogram 1	1	60.000000000	63.000000000	0.0	24000.0	0.108_241_ELDON2_20250418_063202_2139.0s_2142.0s.wav	0
22	Waveform 1	1	63.000000000	66.000000000	0.0	24000.0	0.108_260_ELDON4_20250418_053200_2181.0s_2184.0s.wav	0
22	Spectrogram 1	1	63.000000000	66.000000000	0.0	24000.0	0.108_260_ELDON4_20250418_053200_2181.0s_2184.0s.wav	0
23	Waveform 1	1	66.000000000	69.000000000	0.0	24000.0	0.109_6_ELDON3_20250424_062402_2655.0s_2658.0s.wav	0
23	Spectrogram 1	1	66.000000000	69.000000000	0.0	24000.0	0.109_6_ELDON3_20250424_062402_2655.0s_2658.0s.wav	0
24	Waveform 1	1	69.000000000	72.000000000	0.0	24000.0	0.109_8_ELDON4_20250428_051900_2892.0s_2895.0s.wav	0
