Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.000	22050.000	0.101_10_ELDON7_20250427_190100_2274.00s_2277.00s.wav	0
1	Spectrogram 1	1	0.000000000	3.000000000	0.000	22050.000	0.101_10_ELDON7_20250427_190100_2274.00s_2277.00s.wav	0
2	Waveform 1	1	3.000000000	6.000000000	0.000	22050.000	0.101_1_ELDON10_20250625_204102_1056.00s_1059.00s.wav	0
2	Spectrogram 1	1	3.000000000	6.000000000	0.000	22050.000	0.101_1_ELDON10_20250625_204102_1056.00s_1059.00s.wav	0
3	Waveform 1	1	6.000000000	9.000000000	0.000	22050.000	0.102_12_ELDON7_20250621_194000_1863.00s_1866.00s.wav	0
3	Spectrogram 1	1	6.000000000	9.000000000	0.000	22050.000	0.102_12_ELDON7_20250621_194000_1863.00s_1866.00s.wav	0
4	Waveform 1	1	9.000000000	12.000000000	0.000	22050.000	0.102_1_ELDON4_20250420_052900_744.00s_747.00s.wav	0
4	Spectrogram 1	1	9.000000000	12.000000000	0.000	22050.000	0.102_1_ELDON4_20250420_052900_744.00s_747.00s.wav	0
5	Waveform 1	1	12.000000000	15.000000000	0.000	22050.000	0.102_2_ELDON2_20250630_194100_2844.00s_2847.00s.wav	0
5	Spectrogram 1	1	12.000000000	15.000000000	0.000	22050.000	0.102_2_ELDON2_20250630_194100_2844.00s_2847.00s.wav	0
6	Waveform 1	1	15.000000000	18.000000000	0.000	22050.000	0.102_3_ELDON2_20250503_051300_2226.00s_2229.00s.wav	0
6	Spectrogram 1	1	15.000000000	18.000000000	0.000	22050.000	0.102_3_ELDON2_20250503_051300_2226.00s_2229.00s.wav	0
7	Waveform 1	1	18.000000000	21.000000000	0.000	22050.000	0.102_4_ELDON1_20250429_200302_2649.00s_2652.00s.wav	0
7	Spectrogram 1	1	18.000000000	21.000000000	0.000	22050.000	0.102_4_ELDON1_20250429_200302_2649.00s_2652.00s.wav	0
8	Waveform 1	1	21.000000000	24.000000000	0.000	22050.000	0.103_1_ELDON1_20250503_190700_2322.00s_2325.00s.wav	0
8	Spectrogram 1	1	21.000000000	24.000000000	0.000	22050.000	0.103_1_ELDON1_20250503_190700_2322.00s_2325.00s.wav	0
9	Waveform 1	1	24.000000000	27.000000000	0.000	22050.000	0.103_2_ELDON10_20250627_204102_1185.00s_1188.00s.wav	0
9	Spectrogram 1	1	24.000000000	27.000000000	0.000	22050.000	0.103_2_ELDON10_20250627_204102_1185.00s_1188.00s.wav	0
10	Waveform 1	1	27.000000000	30.000000000	0.000	22050.000	0.103_6_ELDON1_20250419_185300_2934.00s_2937.00s.wav	0
10	Spectrogram 1	1	27.000000000	30.000000000	0.000	22050.000	0.103_6_ELDON1_20250419_185300_2934.00s_2937.00s.wav	0
11	Waveform 1	1	30.000000000	33.000000000	0.000	22050.000	0.104_2_ELDON1_20250424_185800_1218.00s_1221.00s.wav	0
11	Spectrogram 1	1	30.000000000	33.000000000	0.000	22050.000	0.104_2_ELDON1_20250424_185800_1218.00s_1221.00s.wav	0
12	Waveform 1	1	33.000000000	36.000000000	0.000	22050.000	0.104_4_ELDON2_20250504_061202_381.00s_384.00s.wav	0
12	Spectrogram 1	1	33.000000000	36.000000000	0.000	22050.000	0.104_4_ELDON2_20250504_061202_381.00s_384.00s.wav	0
13	Waveform 1	1	36.000000000	39.000000000	0.000	22050.000	0.105_1_ELDON6_20250629_045100_1035.00s_1038.00s.wav	0
13	Spectrogram 1	1	36.000000000	39.000000000	0.000	22050.000	0.105_1_ELDON6_20250629_045100_1035.00s_1038.00s.wav	0
14	Waveform 1	1	39.000000000	42.000000000	0.000	22050.000	0.105_1_ELDON9_20250421_185500_63.00s_66.00s.wav	0
14	Spectrogram 1	1	39.000000000	42.000000000	0.000	22050.000	0.105_1_ELDON9_20250421_185500_63.00s_66.00s.wav	0
15	Waveform 1	1	42.000000000	45.000000000	0.000	22050.000	0.105_2_ELDON1_20250429_190300_3099.00s_3102.00s.wav	0
15	Spectrogram 1	1	42.000000000	45.000000000	0.000	22050.000	0.105_2_ELDON1_20250429_190300_3099.00s_3102.00s.wav	0
16	Waveform 1	1	45.000000000	48.000000000	0.000	22050.000	0.105_2_ELDON4_20250424_052400_141.00s_144.00s.wav	0
16	Spectrogram 1	1	45.000000000	48.000000000	0.000	22050.000	0.105_2_ELDON4_20250424_052400_141.00s_144.00s.wav	0
17	Waveform 1	1	48.000000000	51.000000000	0.000	22050.000	0.105_2_ELDON5_20250627_194100_3384.00s_3387.00s.wav	0
17	Spectrogram 1	1	48.000000000	51.000000000	0.000	22050.000	0.105_2_ELDON5_20250627_194100_3384.00s_3387.00s.wav	0
18	Waveform 1	1	51.000000000	54.000000000	0.000	22050.000	0.105_3_ELDON7_20250427_052000_3159.00s_3162.00s.wav	1
18	Spectrogram 1	1	51.000000000	54.000000000	0.000	22050.000	0.105_3_ELDON7_20250427_052000_3159.00s_3162.00s.wav	1
19	Waveform 1	1	54.000000000	57.000000000	0.000	22050.000	0.107_7_ELDON9_20250706_194000_798.00s_801.00s.wav	1
19	Spectrogram 1	1	54.000000000	57.000000000	0.000	22050.000	0.107_7_ELDON9_20250706_194000_798.00s_801.00s.wav	1
20	Waveform 1	1	57.000000000	60.000000000	0.000	22050.000	0.108_5_ELDON3_20250424_185800_2481.00s_2484.00s.wav	1
20	Spectrogram 1	1	57.000000000	60.000000000	0.000	22050.000	0.108_5_ELDON3_20250424_185800_2481.00s_2484.00s.wav	1
21	Waveform 1	1	60.000000000	63.000000000	0.000	22050.000	0.108_7_ELDON2_20250423_185700_489.00s_492.00s.wav	0
21	Spectrogram 1	1	60.000000000	63.000000000	0.000	22050.000	0.108_7_ELDON2_20250423_185700_489.00s_492.00s.wav	0
22	Waveform 1	1	63.000000000	66.000000000	0.000	22050.000	0.109_11_ELDON1_20250419_185300_1464.00s_1467.00s.wav	0
22	Spectrogram 1	1	63.000000000	66.000000000	0.000	22050.000	0.109_11_ELDON1_20250419_185300_1464.00s_1467.00s.wav	0
23	Waveform 1	1	66.000000000	69.000000000	0.000	22050.000	0.109_2_ELDON2_20250622_204102_2244.00s_2247.00s.wav	0
23	Spectrogram 1	1	66.000000000	69.000000000	0.000	22050.000	0.109_2_ELDON2_20250622_204102_2244.00s_2247.00s.wav	0
24	Waveform 1	1	69.000000000	72.000000000	0.000	22050.000	0.109_3_ELDON2_20250419_053100_1437.00s_1440.00s.wav	1
24	Spectrogram 1	1	69.000000000	72.000000000	0.000	22050.000	0.109_3_ELDON2_20250419_053100_1437.00s_1440.00s.wav	1
25	Waveform 1	1	72.000000000	75.000000000	0.000	22050.000	0.109_6_ELDON2_20250423_185700_33.00s_36.00s.wav	0
25	Spectrogram 1	1	72.000000000	75.000000000	0.000	22050.000	0.109_6_ELDON2_20250423_185700_33.00s_36.00s.wav	0
26	Waveform 1	1	75.000000000	78.000000000	0.000	22050.000	0.110_13_ELDON1_20250417_185100_678.00s_681.00s.wav	0
26	Spectrogram 1	1	75.000000000	78.000000000	0.000	22050.000	0.110_13_ELDON1_20250417_185100_678.00s_681.00s.wav	0
27	Waveform 1	1	78.000000000	81.000000000	0.000	22050.000	0.110_2_ELDON4_20250421_062802_519.00s_522.00s.wav	0
27	Spectrogram 1	1	78.000000000	81.000000000	0.000	22050.000	0.110_2_ELDON4_20250421_062802_519.00s_522.00s.wav	0
28	Waveform 1	1	81.000000000	84.000000000	0.000	22050.000	0.110_4_ELDON1_20250429_190300_3420.00s_3423.00s.wav	0
28	Spectrogram 1	1	81.000000000	84.000000000	0.000	22050.000	0.110_4_ELDON1_20250429_190300_3420.00s_3423.00s.wav	0
29	Waveform 1	1	84.000000000	87.000000000	0.000	22050.000	0.111_1_ELDON2_20250427_052000_279.00s_282.00s.wav	0
