Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	15000	Common Yellowthroat	comyel	0.2959	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	3.0
2	Spectrogram 1	1	21.0	24.0	0	15000	Common Yellowthroat	comyel	0.1992	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	21.0
3	Spectrogram 1	1	33.0	36.0	0	15000	Common Yellowthroat	comyel	0.0514	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	33.0
4	Spectrogram 1	1	36.0	39.0	0	15000	Common Yellowthroat	comyel	0.0537	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	36.0
5	Spectrogram 1	1	39.0	42.0	0	15000	Common Yellowthroat	comyel	0.1145	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	39.0
6	Spectrogram 1	1	60.0	63.0	0	15000	Common Yellowthroat	comyel	0.0691	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	60.0
7	Spectrogram 1	1	78.0	81.0	0	15000	Common Yellowthroat	comyel	0.0650	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	78.0
8	Spectrogram 1	1	87.0	90.0	0	15000	Common Yellowthroat	comyel	0.0831	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	87.0
9	Spectrogram 1	1	90.0	93.0	0	15000	Common Yellowthroat	comyel	0.0563	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	90.0
10	Spectrogram 1	1	99.0	102.0	0	15000	Common Yellowthroat	comyel	0.0617	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	99.0
11	Spectrogram 1	1	108.0	111.0	0	15000	Common Yellowthroat	comyel	0.0628	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	108.0
12	Spectrogram 1	1	123.0	126.0	0	15000	Common Yellowthroat	comyel	0.0528	D:\AcousticMonitoringData\ELDON7_Data\Week22\ELDON7_20250611_044800.wav	123.0
