Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.000	22050.000	0.101_1_ELDON5_20250417_195102_2673.00s_2676.00s.wav	0
1	Spectrogram 1	1	0.000000000	3.000000000	0.000	22050.000	0.101_1_ELDON5_20250417_195102_2673.00s_2676.00s.wav	0
2	Waveform 1	1	3.000000000	6.000000000	0.000	22050.000	0.101_1_ELDON5_20250520_192200_2127.00s_2130.00s.wav	0
2	Spectrogram 1	1	3.000000000	6.000000000	0.000	22050.000	0.101_1_ELDON5_20250520_192200_2127.00s_2130.00s.wav	0
3	Waveform 1	1	6.000000000	9.000000000	0.000	22050.000	0.101_2_ELDON5_20250503_200702_3534.00s_3537.00s.wav	0
3	Spectrogram 1	1	6.000000000	9.000000000	0.000	22050.000	0.101_2_ELDON5_20250503_200702_3534.00s_3537.00s.wav	0
4	Waveform 1	1	9.000000000	12.000000000	0.000	22050.000	0.101_3_ELDON10_20250603_054902_3186.00s_3189.00s.wav	0
4	Spectrogram 1	1	9.000000000	12.000000000	0.000	22050.000	0.101_3_ELDON10_20250603_054902_3186.00s_3189.00s.wav	0
5	Waveform 1	1	12.000000000	15.000000000	0.000	22050.000	0.101_7_ELDON2_20250512_050400_276.00s_279.00s.wav	0
5	Spectrogram 1	1	12.000000000	15.000000000	0.000	22050.000	0.101_7_ELDON2_20250512_050400_276.00s_279.00s.wav	0
6	Waveform 1	1	15.000000000	18.000000000	0.000	22050.000	0.101_8_ELDON10_20250602_193200_1566.00s_1569.00s.wav	1
6	Spectrogram 1	1	15.000000000	18.000000000	0.000	22050.000	0.101_8_ELDON10_20250602_193200_1566.00s_1569.00s.wav	1
7	Waveform 1	1	18.000000000	21.000000000	0.000	22050.000	0.102_12_ELDON8_20250501_051500_2160.00s_2163.00s.wav	1
7	Spectrogram 1	1	18.000000000	21.000000000	0.000	22050.000	0.102_12_ELDON8_20250501_051500_2160.00s_2163.00s.wav	1
8	Waveform 1	1	21.000000000	24.000000000	0.000	22050.000	0.102_1_ELDON2_20250423_052500_66.00s_69.00s.wav	0
8	Spectrogram 1	1	21.000000000	24.000000000	0.000	22050.000	0.102_1_ELDON2_20250423_052500_66.00s_69.00s.wav	0
9	Waveform 1	1	24.000000000	27.000000000	0.000	22050.000	0.102_1_ELDON2_20250512_201502_177.00s_180.00s.wav	0
9	Spectrogram 1	1	24.000000000	27.000000000	0.000	22050.000	0.102_1_ELDON2_20250512_201502_177.00s_180.00s.wav	0
10	Waveform 1	1	27.000000000	30.000000000	0.000	22050.000	0.102_3_ELDON6_20250620_204002_1380.00s_1383.00s.wav	0
10	Spectrogram 1	1	27.000000000	30.000000000	0.000	22050.000	0.102_3_ELDON6_20250620_204002_1380.00s_1383.00s.wav	0
11	Waveform 1	1	30.000000000	33.000000000	0.000	22050.000	0.102_4_ELDON5_20250506_200902_1074.00s_1077.00s.wav	0
11	Spectrogram 1	1	30.000000000	33.000000000	0.000	22050.000	0.102_4_ELDON5_20250506_200902_1074.00s_1077.00s.wav	0
12	Waveform 1	1	33.000000000	36.000000000	0.000	22050.000	0.102_7_ELDON5_20250511_191400_3459.00s_3462.00s.wav	1
12	Spectrogram 1	1	33.000000000	36.000000000	0.000	22050.000	0.102_7_ELDON5_20250511_191400_3459.00s_3462.00s.wav	1
13	Waveform 1	1	36.000000000	39.000000000	0.000	22050.000	0.102_8_ELDON8_20250602_045000_45.00s_48.00s.wav	0
13	Spectrogram 1	1	36.000000000	39.000000000	0.000	22050.000	0.102_8_ELDON8_20250602_045000_45.00s_48.00s.wav	0
14	Waveform 1	1	39.000000000	42.000000000	0.000	22050.000	0.103_1_ELDON3_20250527_192800_2817.00s_2820.00s.wav	1
14	Spectrogram 1	1	39.000000000	42.000000000	0.000	22050.000	0.103_1_ELDON3_20250527_192800_2817.00s_2820.00s.wav	1
15	Waveform 1	1	42.000000000	45.000000000	0.000	22050.000	0.103_1_ELDON4_20250503_200702_2463.00s_2466.00s.wav	0
15	Spectrogram 1	1	42.000000000	45.000000000	0.000	22050.000	0.103_1_ELDON4_20250503_200702_2463.00s_2466.00s.wav	0
16	Waveform 1	1	45.000000000	48.000000000	0.000	22050.000	0.103_3_ELDON5_20250603_054902_2295.00s_2298.00s.wav	0
