Cardinalis cardinalis_Northern Cardinal
Zenaida macroura_Mourning Dove
Corvus brachyrhynchos_American Crow
Baeolophus bicolor_Tufted Titmouse
Thryothorus ludovicianus_Carolina Wren
Cathartes aura_Turkey Vulture
Turdus migratorius_American Robin
Poecile carolinensis_Carolina Chickadee
Melanerpes carolinus_Red-bellied Woodpecker
Spizella passerina_Chipping Sparrow
Cyanocitta cristata_Blue Jay
Melospiza melodia_Song Sparrow
Agelaius phoeniceus_Red-winged Blackbird
Quiscalus quiscula_Common Grackle
Branta canadensis_Canada Goose
Molothrus ater_Brown-headed Cowbird
Dryobates pubescens_Downy Woodpecker
Molothrus ater_Brown-headed Cowbird
Spinus tristis_American Goldfinch
Sialia sialis_Eastern Bluebird
Pipilo erythrophthalmus_Eastern Towhee
Zonotrichia albicollis_White-throated Sparrow
Sayornis phoebe_Eastern Phoebe
Sturnus vulgaris_European Starling
Mimus polyglottos_Northern Mockingbird
Polioptila caerulea_Blue-gray Gnatcatcher
Haemorhous mexicanus_House Finch
Tachycineta bicolor_Tree Swallow
Spizella pusilla_Field Sparrow
Toxostoma rufum_Brown Thrasher
Colaptes auratus_Northern Flicker
Hirundo rustica_Barn Swallow
Passer domesticus_House Sparrow
Corvus ossifragus_Fish Crow
Charadrius vociferus_Killdeer
Coragyps atratus_Black Vulture
Stelgidopteryx serripennis_Northern Rough-winged Swallow
Buteo jamaicensis_Red-tailed Hawk
Buteo lineatus_Red-shouldered Hawk
Dumetella carolinensis_Gray Catbird
Sturnella magna_Eastern Meadowlark
Troglodytes aedon_House Wren
Geothlypis trichas_Common Yellowthroat
Ardea alba_Great Egret
Columba livia_Rock Pigeon
Junco hyemalis_Dark-eyed Junco
Meleagris gallopavo_Wild Turkey
Parkesia motacilla_Louisiana Waterthrush
Archilochus colubris_Ruby-throated Hummingbird
Tringa melanoleuca_Greater Yellowlegs
Melospiza georgiana_Swamp Sparrow
Haliaeetus leucocephalus_Bald Eagle
Zonotrichia leucophrys_White-crowned Sparrow
Bombycilla cedrorum_Cedar Waxwing
Passerculus sandwichensis_Savannah Sparrow
Tyrannus tyrannus_Eastern Kingbird
Accipiter cooperii_Cooper's Hawk
Tringa flavipes_Lesser Yellowlegs
Falco sparverius_American Kestrel
Setophaga discolor_Prairie Warbler
Passerina cyanea_Indigo Bunting
Buteo platypterus_Broad-winged Hawk
Actitis macularius_Spotted Sandpiper
Circus hudsonius_Northern Harrier
Corvus corax_Common Raven
Tringa solitaria_Solitary Sandpiper
Icterus spurius_Orchard Oriole
Calidris minutilla_Least Sandpiper
Gallinago delicata_Wilson's Snipe
Colinus virginianus_Northern Bobwhite
Eremophila alpestris_Horned Lark
Passerina caerulea_Blue Grosbeak
Falco peregrinus_Peregrine Falcon
Icteria virens_Yellow-breasted Chat
Leiothlypis ruficapilla_Nashville Warbler
Antrostomus vociferus_Eastern Whip-poor-will
Dolichonyx oryzivorus_Bobolink
Ammodramus savannarum_Grasshopper Sparrow
Chordeiles minor_Common Nighthawk
Spiza americana_Dickcissel
