Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Valid
1	Waveform 1	1	0.000000000	3.000000000	0.0	24000.0	0.101_27_ELDON5_20250421_185500_1059.0s_1062.0s.wav	0
1	Spectrogram 1	1	0.000000000	3.000000000	0.0	24000.0	0.101_27_ELDON5_20250421_185500_1059.0s_1062.0s.wav	0
2	Waveform 1	1	3.000000000	6.000000000	0.0	24000.0	0.101_9_ELDON9_20250422_185600_1083.0s_1086.0s.wav	0
2	Spectrogram 1	1	3.000000000	6.000000000	0.0	24000.0	0.101_9_ELDON9_20250422_185600_1083.0s_1086.0s.wav	0
3	Waveform 1	1	6.000000000	9.000000000	0.0	24000.0	0.102_11_ELDON7_20250430_051600_3321.0s_3324.0s.wav	0
3	Spectrogram 1	1	6.000000000	9.000000000	0.0	24000.0	0.102_11_ELDON7_20250430_051600_3321.0s_3324.0s.wav	0
4	Waveform 1	1	9.000000000	12.000000000	0.0	24000.0	0.102_30_ELDON5_20250421_185500_354.0s_357.0s.wav	0
4	Spectrogram 1	1	9.000000000	12.000000000	0.0	24000.0	0.102_30_ELDON5_20250421_185500_354.0s_357.0s.wav	0
5	Waveform 1	1	12.000000000	15.000000000	0.0	24000.0	0.102_36_ELDON2_20250422_062702_1404.0s_1407.0s.wav	0
5	Spectrogram 1	1	12.000000000	15.000000000	0.0	24000.0	0.102_36_ELDON2_20250422_062702_1404.0s_1407.0s.wav	0
6	Waveform 1	1	15.000000000	18.000000000	0.0	24000.0	0.102_4_ELDON7_20250429_200302_2712.0s_2715.0s.wav	0
6	Spectrogram 1	1	15.000000000	18.000000000	0.0	24000.0	0.102_4_ELDON7_20250429_200302_2712.0s_2715.0s.wav	0
7	Waveform 1	1	18.000000000	21.000000000	0.0	24000.0	0.102_5_ELDON7_20250424_195802_531.0s_534.0s.wav	0
7	Spectrogram 1	1	18.000000000	21.000000000	0.0	24000.0	0.102_5_ELDON7_20250424_195802_531.0s_534.0s.wav	0
8	Waveform 1	1	21.000000000	24.000000000	0.0	24000.0	0.103_14_ELDON7_20250424_062402_3504.0s_3507.0s.wav	1
8	Spectrogram 1	1	21.000000000	24.000000000	0.0	24000.0	0.103_14_ELDON7_20250424_062402_3504.0s_3507.0s.wav	1
9	Waveform 1	1	24.000000000	27.000000000	0.0	24000.0	0.103_14_ELDON7_20250429_200302_3129.0s_3132.0s.wav	0
9	Spectrogram 1	1	24.000000000	27.000000000	0.0	24000.0	0.103_14_ELDON7_20250429_200302_3129.0s_3132.0s.wav	0
10	Waveform 1	1	27.000000000	30.000000000	0.0	24000.0	0.103_17_ELDON3_20250425_185900_2091.0s_2094.0s.wav	0
10	Spectrogram 1	1	27.000000000	30.000000000	0.0	24000.0	0.103_17_ELDON3_20250425_185900_2091.0s_2094.0s.wav	0
11	Waveform 1	1	30.000000000	33.000000000	0.0	24000.0	0.103_4_ELDON7_20250422_185600_2406.0s_2409.0s.wav	0
11	Spectrogram 1	1	30.000000000	33.000000000	0.0	24000.0	0.103_4_ELDON7_20250422_185600_2406.0s_2409.0s.wav	0
12	Waveform 1	1	33.000000000	36.000000000	0.0	24000.0	0.104_22_ELDON5_20250419_185300_2733.0s_2736.0s.wav	0
12	Spectrogram 1	1	33.000000000	36.000000000	0.0	24000.0	0.104_22_ELDON5_20250419_185300_2733.0s_2736.0s.wav	0
13	Waveform 1	1	36.000000000	39.000000000	0.0	24000.0	0.104_4_ELDON7_20250427_062002_897.0s_900.0s.wav	0
13	Spectrogram 1	1	36.000000000	39.000000000	0.0	24000.0	0.104_4_ELDON7_20250427_062002_897.0s_900.0s.wav	0
14	Waveform 1	1	39.000000000	42.000000000	0.0	24000.0	0.104_7_ELDON9_20250426_062102_3501.0s_3504.0s.wav	0
14	Spectrogram 1	1	39.000000000	42.000000000	0.0	24000.0	0.104_7_ELDON9_20250426_062102_3501.0s_3504.0s.wav	0
15	Waveform 1	1	42.000000000	45.000000000	0.0	24000.0	0.104_8_ELDON2_20250430_051600_1110.0s_1113.0s.wav	0
15	Spectrogram 1	1	42.000000000	45.000000000	0.0	24000.0	0.104_8_ELDON2_20250430_051600_1110.0s_1113.0s.wav	0
16	Waveform 1	1	45.000000000	48.000000000	0.0	24000.0	0.105_6_ELDON9_20250428_200202_1902.0s_1905.0s.wav	0
16	Spectrogram 1	1	45.000000000	48.000000000	0.0	24000.0	0.105_6_ELDON9_20250428_200202_1902.0s_1905.0s.wav	0
17	Waveform 1	1	48.000000000	51.000000000	0.0	24000.0	0.106_19_ELDON2_20250428_051900_2520.0s_2523.0s.wav	0
17	Spectrogram 1	1	48.000000000	51.000000000	0.0	24000.0	0.106_19_ELDON2_20250428_051900_2520.0s_2523.0s.wav	0
18	Waveform 1	1	51.000000000	54.000000000	0.0	24000.0	0.106_4_ELDON9_20250430_061602_2169.0s_2172.0s.wav	1
18	Spectrogram 1	1	51.000000000	54.000000000	0.0	24000.0	0.106_4_ELDON9_20250430_061602_2169.0s_2172.0s.wav	1
19	Waveform 1	1	54.000000000	57.000000000	0.0	24000.0	0.106_6_ELDON7_20250422_185600_1884.0s_1887.0s.wav	0
19	Spectrogram 1	1	54.000000000	57.000000000	0.0	24000.0	0.106_6_ELDON7_20250422_185600_1884.0s_1887.0s.wav	0
20	Waveform 1	1	57.000000000	60.000000000	0.0	24000.0	0.106_6_ELDON7_20250425_062302_3378.0s_3381.0s.wav	0
20	Spectrogram 1	1	57.000000000	60.000000000	0.0	24000.0	0.106_6_ELDON7_20250425_062302_3378.0s_3381.0s.wav	0
21	Waveform 1	1	60.000000000	63.000000000	0.0	24000.0	0.106_8_ELDON9_20250427_062002_843.0s_846.0s.wav	0
21	Spectrogram 1	1	60.000000000	63.000000000	0.0	24000.0	0.106_8_ELDON9_20250427_062002_843.0s_846.0s.wav	0
22	Waveform 1	1	63.000000000	66.000000000	0.0	24000.0	0.108_14_ELDON7_20250423_062502_1986.0s_1989.0s.wav	1
22	Spectrogram 1	1	63.000000000	66.000000000	0.0	24000.0	0.108_14_ELDON7_20250423_062502_1986.0s_1989.0s.wav	1
23	Waveform 1	1	66.000000000	69.000000000	0.0	24000.0	0.108_18_ELDON3_20250425_185900_1986.0s_1989.0s.wav	0
23	Spectrogram 1	1	66.000000000	69.000000000	0.0	24000.0	0.108_18_ELDON3_20250425_185900_1986.0s_1989.0s.wav	0
24	Waveform 1	1	69.000000000	72.000000000	0.0	24000.0	0.109_12_ELDON7_20250429_200302_3273.0s_3276.0s.wav	0
24	Spectrogram 1	1	69.000000000	72.000000000	0.0	24000.0	0.109_12_ELDON7_20250429_200302_3273.0s_3276.0s.wav	0
25	Waveform 1	1	72.000000000	75.000000000	0.0	24000.0	0.110_11_ELDON7_20250429_200302_3276.0s_3279.0s.wav	0
25	Spectrogram 1	1	72.000000000	75.000000000	0.0	24000.0	0.110_11_ELDON7_20250429_200302_3276.0s_3279.0s.wav	0
26	Waveform 1	1	75.000000000	78.000000000	0.0	24000.0	0.110_23_ELDON3_20250424_185800_1812.0s_1815.0s.wav	0
26	Spectrogram 1	1	75.000000000	78.000000000	0.0	24000.0	0.110_23_ELDON3_20250424_185800_1812.0s_1815.0s.wav	0
27	Waveform 1	1	78.000000000	81.000000000	0.0	24000.0	0.110_24_ELDON6_20250419_185300_2109.0s_2112.0s.wav	0
27	Spectrogram 1	1	78.000000000	81.000000000	0.0	24000.0	0.110_24_ELDON6_20250419_185300_2109.0s_2112.0s.wav	0
28	Waveform 1	1	81.000000000	84.000000000	0.0	24000.0	0.111_7_ELDON1_20250426_052100_1344.0s_1347.0s.wav	0
28	Spectrogram 1	1	81.000000000	84.000000000	0.0	24000.0	0.111_7_ELDON1_20250426_052100_1344.0s_1347.0s.wav	0
29	Waveform 1	1	84.000000000	87.000000000	0.0	24000.0	0.111_7_ELDON7_20250425_062302_819.0s_822.0s.wav	1
29	Spectrogram 1	1	84.000000000	87.000000000	0.0	24000.0	0.111_7_ELDON7_20250425_062302_819.0s_822.0s.wav	1
30	Waveform 1	1	87.000000000	90.000000000	0.0	24000.0	0.112_19_ELDON3_20250423_185700_1500.0s_1503.0s.wav	0
30	Spectrogram 1	1	87.000000000	90.000000000	0.0	24000.0	0.112_19_ELDON3_20250423_185700_1500.0s_1503.0s.wav	0
31	Waveform 1	1	90.000000000	93.000000000	0.0	24000.0	0.112_9_ELDON2_20250422_185600_2469.0s_2472.0s.wav	0
31	Spectrogram 1	1	90.000000000	93.000000000	0.0	24000.0	0.112_9_ELDON2_20250422_185600_2469.0s_2472.0s.wav	0
32	Waveform 1	1	93.000000000	96.000000000	0.0	24000.0	0.112_9_ELDON7_20250426_062102_3507.0s_3510.0s.wav	0
32	Spectrogram 1	1	93.000000000	96.000000000	0.0	24000.0	0.112_9_ELDON7_20250426_062102_3507.0s_3510.0s.wav	0
33	Waveform 1	1	96.000000000	99.000000000	0.0	24000.0	0.113_13_ELDON4_20250423_185700_1464.0s_1467.0s.wav	0
33	Spectrogram 1	1	96.000000000	99.000000000	0.0	24000.0	0.113_13_ELDON4_20250423_185700_1464.0s_1467.0s.wav	0
34	Waveform 1	1	99.000000000	102.000000000	0.0	24000.0	0.113_26_ELDON5_20250420_185400_3435.0s_3438.0s.wav	0
34	Spectrogram 1	1	99.000000000	102.000000000	0.0	24000.0	0.113_26_ELDON5_20250420_185400_3435.0s_3438.0s.wav	0
35	Waveform 1	1	102.000000000	105.000000000	0.0	24000.0	0.113_5_ELDON7_20250429_200302_2616.0s_2619.0s.wav	0
35	Spectrogram 1	1	102.000000000	105.000000000	0.0	24000.0	0.113_5_ELDON7_20250429_200302_2616.0s_2619.0s.wav	0
36	Waveform 1	1	105.000000000	108.000000000	0.0	24000.0	0.115_20_ELDON5_20250419_185300_3390.0s_3393.0s.wav	0
36	Spectrogram 1	1	105.000000000	108.000000000	0.0	24000.0	0.115_20_ELDON5_20250419_185300_3390.0s_3393.0s.wav	0
37	Waveform 1	1	108.000000000	111.000000000	0.0	24000.0	0.115_6_ELDON2_20250424_195802_702.0s_705.0s.wav	0
37	Spectrogram 1	1	108.000000000	111.000000000	0.0	24000.0	0.115_6_ELDON2_20250424_195802_702.0s_705.0s.wav	0
38	Waveform 1	1	111.000000000	114.000000000	0.0	24000.0	0.116_28_ELDON5_20250420_185400_1359.0s_1362.0s.wav	0
38	Spectrogram 1	1	111.000000000	114.000000000	0.0	24000.0	0.116_28_ELDON5_20250420_185400_1359.0s_1362.0s.wav	0
39	Waveform 1	1	114.000000000	117.000000000	0.0	24000.0	0.117_13_ELDON7_20250428_061902_477.0s_480.0s.wav	0
39	Spectrogram 1	1	114.000000000	117.000000000	0.0	24000.0	0.117_13_ELDON7_20250428_061902_477.0s_480.0s.wav	0
40	Waveform 1	1	117.000000000	120.000000000	0.0	24000.0	0.117_15_ELDON4_20250425_185900_957.0s_960.0s.wav	0
40	Spectrogram 1	1	117.000000000	120.000000000	0.0	24000.0	0.117_15_ELDON4_20250425_185900_957.0s_960.0s.wav	0
41	Waveform 1	1	120.000000000	123.000000000	0.0	24000.0	0.117_26_ELDON5_20250419_185300_2796.0s_2799.0s.wav	0
41	Spectrogram 1	1	120.000000000	123.000000000	0.0	24000.0	0.117_26_ELDON5_20250419_185300_2796.0s_2799.0s.wav	0
42	Waveform 1	1	123.000000000	126.000000000	0.0	24000.0	0.117_28_ELDON7_20250425_185900_1047.0s_1050.0s.wav	0
42	Spectrogram 1	1	123.000000000	126.000000000	0.0	24000.0	0.117_28_ELDON7_20250425_185900_1047.0s_1050.0s.wav	0
43	Waveform 1	1	126.000000000	129.000000000	0.0	24000.0	0.118_12_ELDON7_20250428_061902_672.0s_675.0s.wav	0
43	Spectrogram 1	1	126.000000000	129.000000000	0.0	24000.0	0.118_12_ELDON7_20250428_061902_672.0s_675.0s.wav	0
44	Waveform 1	1	129.000000000	132.000000000	0.0	24000.0	0.118_4_ELDON9_20250426_062102_2982.0s_2985.0s.wav	0
44	Spectrogram 1	1	129.000000000	132.000000000	0.0	24000.0	0.118_4_ELDON9_20250426_062102_2982.0s_2985.0s.wav	0
45	Waveform 1	1	132.000000000	135.000000000	0.0	24000.0	0.118_9_ELDON3_20250422_185600_3438.0s_3441.0s.wav	0
45	Spectrogram 1	1	132.000000000	135.000000000	0.0	24000.0	0.118_9_ELDON3_20250422_185600_3438.0s_3441.0s.wav	0
46	Waveform 1	1	135.000000000	138.000000000	0.0	24000.0	0.120_12_ELDON9_20250424_062402_1617.0s_1620.0s.wav	1
46	Spectrogram 1	1	135.000000000	138.000000000	0.0	24000.0	0.120_12_ELDON9_20250424_062402_1617.0s_1620.0s.wav	1
47	Waveform 1	1	138.000000000	141.000000000	0.0	24000.0	0.120_13_ELDON1_20250423_185700_306.0s_309.0s.wav	0
47	Spectrogram 1	1	138.000000000	141.000000000	0.0	24000.0	0.120_13_ELDON1_20250423_185700_306.0s_309.0s.wav	0
48	Waveform 1	1	141.000000000	144.000000000	0.0	24000.0	0.120_16_ELDON3_20250425_185900_2025.0s_2028.0s.wav	0
48	Spectrogram 1	1	141.000000000	144.000000000	0.0	24000.0	0.120_16_ELDON3_20250425_185900_2025.0s_2028.0s.wav	0
49	Waveform 1	1	144.000000000	147.000000000	0.0	24000.0	0.120_7_ELDON2_20250430_200402_1569.0s_1572.0s.wav	0
49	Spectrogram 1	1	144.000000000	147.000000000	0.0	24000.0	0.120_7_ELDON2_20250430_200402_1569.0s_1572.0s.wav	0
50	Waveform 1	1	147.000000000	150.000000000	0.0	24000.0	0.121_5_ELDON6_20250417_185100_522.0s_525.0s.wav	0
50	Spectrogram 1	1	147.000000000	150.000000000	0.0	24000.0	0.121_5_ELDON6_20250417_185100_522.0s_525.0s.wav	0
51	Waveform 1	1	150.000000000	153.000000000	0.0	24000.0	0.121_5_ELDON7_20250425_062302_3357.0s_3360.0s.wav	0
51	Spectrogram 1	1	150.000000000	153.000000000	0.0	24000.0	0.121_5_ELDON7_20250425_062302_3357.0s_3360.0s.wav	0
52	Waveform 1	1	153.000000000	156.000000000	0.0	24000.0	0.121_9_ELDON9_20250430_051600_1065.0s_1068.0s.wav	0
52	Spectrogram 1	1	153.000000000	156.000000000	0.0	24000.0	0.121_9_ELDON9_20250430_051600_1065.0s_1068.0s.wav	0
53	Waveform 1	1	156.000000000	159.000000000	0.0	24000.0	0.123_16_ELDON1_20250425_185900_3012.0s_3015.0s.wav	0
53	Spectrogram 1	1	156.000000000	159.000000000	0.0	24000.0	0.123_16_ELDON1_20250425_185900_3012.0s_3015.0s.wav	0
54	Waveform 1	1	159.000000000	162.000000000	0.0	24000.0	0.123_26_ELDON6_20250419_185300_2055.0s_2058.0s.wav	0
54	Spectrogram 1	1	159.000000000	162.000000000	0.0	24000.0	0.123_26_ELDON6_20250419_185300_2055.0s_2058.0s.wav	0
55	Waveform 1	1	162.000000000	165.000000000	0.0	24000.0	0.125_28_ELDON2_20250425_195902_1974.0s_1977.0s.wav	0
55	Spectrogram 1	1	162.000000000	165.000000000	0.0	24000.0	0.125_28_ELDON2_20250425_195902_1974.0s_1977.0s.wav	0
