Start (s),End (s),Scientific name,Common name,Confidence,File,Date
63,66,Geothlypis trichas,Common Yellowthroat,0.087,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
69,72,Geothlypis trichas,Common Yellowthroat,0.0747,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
156,159,Geothlypis trichas,Common Yellowthroat,0.0577,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
180,183,Geothlypis trichas,Common Yellowthroat,0.0512,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
186,189,Geothlypis trichas,Common Yellowthroat,0.0894,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
189,192,Geothlypis trichas,Common Yellowthroat,0.0792,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
351,354,Geothlypis trichas,Common Yellowthroat,0.0573,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
603,606,Geothlypis trichas,Common Yellowthroat,0.1096,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
609,612,Geothlypis trichas,Common Yellowthroat,0.1432,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
612,615,Geothlypis trichas,Common Yellowthroat,0.0521,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
615,618,Geothlypis trichas,Common Yellowthroat,0.0802,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
618,621,Geothlypis trichas,Common Yellowthroat,0.0553,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
621,624,Geothlypis trichas,Common Yellowthroat,0.0911,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
624,627,Geothlypis trichas,Common Yellowthroat,0.1596,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
624,627,Spizella pusilla,Field Sparrow,0.0511,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
633,636,Geothlypis trichas,Common Yellowthroat,0.0932,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
636,639,Geothlypis trichas,Common Yellowthroat,0.1034,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
639,642,Geothlypis trichas,Common Yellowthroat,0.0603,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
666,669,Geothlypis trichas,Common Yellowthroat,0.0546,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
678,681,Geothlypis trichas,Common Yellowthroat,0.0841,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
684,687,Geothlypis trichas,Common Yellowthroat,0.0631,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
711,714,Geothlypis trichas,Common Yellowthroat,0.0772,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
732,735,Spizella pusilla,Field Sparrow,0.0835,E:\AcousticMonitoringData\ELDON2_Data\Week15\ELDON2_20250418_053200.wav,20250418
