start,end,scientific_name,common_name,confidence
48,51,Geothlypis trichas,Common Yellowthroat,0.703805983
72,75,Spinus tristis,American Goldfinch,0.319034815
282,285,Geothlypis trichas,Common Yellowthroat,0.385222197
714,717,Geothlypis trichas,Common Yellowthroat,0.565937698
738,741,Geothlypis trichas,Common Yellowthroat,0.670813441
855,858,Geothlypis trichas,Common Yellowthroat,0.567953765
963,966,Geothlypis trichas,Common Yellowthroat,0.616577446
1104,1107,Geothlypis trichas,Common Yellowthroat,0.371470451
1146,1149,Geothlypis trichas,Common Yellowthroat,0.349703014
1161,1164,Geothlypis trichas,Common Yellowthroat,0.413222402
1221,1224,Geothlypis trichas,Common Yellowthroat,0.361675441
1227,1230,Geothlypis trichas,Common Yellowthroat,0.332202435
1245,1248,Zenaida macroura,Mourning Dove,0.380476862
1263,1266,Geothlypis trichas,Common Yellowthroat,0.418185115
1380,1383,Geothlypis trichas,Common Yellowthroat,0.377685428
1479,1482,Geothlypis trichas,Common Yellowthroat,0.514419973
1563,1566,Geothlypis trichas,Common Yellowthroat,0.326487094
1569,1572,Geothlypis trichas,Common Yellowthroat,0.539830267
1572,1575,Geothlypis trichas,Common Yellowthroat,0.372186869
1644,1647,Geothlypis trichas,Common Yellowthroat,0.41440019
1665,1668,Geothlypis trichas,Common Yellowthroat,0.32718882
1764,1767,Geothlypis trichas,Common Yellowthroat,0.416870236
1896,1899,Geothlypis trichas,Common Yellowthroat,0.376903534
1905,1908,Geothlypis trichas,Common Yellowthroat,0.32318902
1926,1929,Geothlypis trichas,Common Yellowthroat,0.425366551
1932,1935,Geothlypis trichas,Common Yellowthroat,0.394947588
1965,1968,Geothlypis trichas,Common Yellowthroat,0.339908928
1998,2001,Geothlypis trichas,Common Yellowthroat,0.324640691
2001,2004,Geothlypis trichas,Common Yellowthroat,0.335550755
2019,2022,Ammodramus savannarum,Grasshopper Sparrow,0.394024551
2022,2025,Ammodramus savannarum,Grasshopper Sparrow,0.563587368
2028,2031,Geothlypis trichas,Common Yellowthroat,0.322961926
2037,2040,Ammodramus savannarum,Grasshopper Sparrow,0.429557949
2043,2046,Geothlypis trichas,Common Yellowthroat,0.314090669
2046,2049,Ammodramus savannarum,Grasshopper Sparrow,0.388639897
2079,2082,Ammodramus savannarum,Grasshopper Sparrow,0.368254304
2136,2139,Geothlypis trichas,Common Yellowthroat,0.408887714
2142,2145,Ammodramus savannarum,Grasshopper Sparrow,0.373260677
2151,2154,Geothlypis trichas,Common Yellowthroat,0.41520682
2160,2163,Geothlypis trichas,Common Yellowthroat,0.357580066
2163,2166,Geothlypis trichas,Common Yellowthroat,0.437720954
2175,2178,Sturnella magna,Eastern Meadowlark,0.381617188
2184,2187,Geothlypis trichas,Common Yellowthroat,0.325324714
2214,2217,Ammodramus savannarum,Grasshopper Sparrow,0.53167218
2232,2235,Ammodramus savannarum,Grasshopper Sparrow,0.425595671
2241,2244,Ammodramus savannarum,Grasshopper Sparrow,0.50297749
2247,2250,Sturnella magna,Eastern Meadowlark,0.376250654
2259,2262,Sturnella magna,Eastern Meadowlark,0.802854598
